municipios,year_data,partido,votos
Adjuntas,1932,Unión_Republicana,1365
Aguada,1932,Unión_Republicana,617
Aguadilla,1932,Unión_Republicana,4050
Aguas Buenas,1932,Unión_Republicana,722
Aibonito,1932,Unión_Republicana,1554
Añasco,1932,Unión_Republicana,447
Arecibo,1932,Unión_Republicana,526
Arroyo,1932,Unión_Republicana,88
Barceloneta,1932,Unión_Republicana,311
Barranquitas,1932,Unión_Republicana,333
Bayamón,1932,Unión_Republicana,2768
Cabo Rojo,1932,Unión_Republicana,2083
Caguas,1932,Unión_Republicana,2181
Camuy,1932,Unión_Republicana,1272
Carolina,1932,Unión_Republicana,787
Cataño,1932,Unión_Republicana,1046
Cayey,1932,Unión_Republicana,2148
Ceiba,1932,Unión_Republicana,58
Ciales,1932,Unión_Republicana,1946
Cidra,1932,Unión_Republicana,576
Coamo,1932,Unión_Republicana,2906
Comerío,1932,Unión_Republicana,539
Corozal,1932,Unión_Republicana,1609
Culebra,1932,Unión_Republicana,3
Dorado,1932,Unión_Republicana,1196
Fajardo,1932,Unión_Republicana,202
Guánica,1932,Unión_Republicana,2025
Guayama,1932,Unión_Republicana,1257
Guayanilla,1932,Unión_Republicana,1311
Guaynabo,1932,Unión_Republicana,1296
Gurabo,1932,Unión_Republicana,338
Hatillo,1932,Unión_Republicana,415
Hormigueros,1932,Unión_Republicana,76
Humacao,1932,Unión_Republicana,465
Isabela,1932,Unión_Republicana,2433
Jayuya,1932,Unión_Republicana,420
Juana Díaz,1932,Unión_Republicana,1306
Juncos,1932,Unión_Republicana,250
Lajas,1932,Unión_Republicana,1075
Lares,1932,Unión_Republicana,1860
Las Marías,1932,Unión_Republicana,266
Las Piedras,1932,Unión_Republicana,386
Loíza,1932,Unión_Republicana,178
Luquillo,1932,Unión_Republicana,76
Manatí,1932,Unión_Republicana,2061
Maricao,1932,Unión_Republicana,457
Maunabo,1932,Unión_Republicana,168
Mayagüez,1932,Unión_Republicana,9800
Moca,1932,Unión_Republicana,1365
Morovis,1932,Unión_Republicana,1971
Naguabo,1932,Unión_Republicana,333
Naranjito,1932,Unión_Republicana,902
Orocovis,1932,Unión_Republicana,2713
Patillas,1932,Unión_Republicana,168
Peñuelas,1932,Unión_Republicana,1794
Ponce,1932,Unión_Republicana,7761
Quebradillas,1932,Unión_Republicana,946
Rincón,1932,Unión_Republicana,167
Río Grande,1932,Unión_Republicana,170
Río Piedras,1932,Unión_Republicana,3003
Sabana Grande,1932,Unión_Republicana,1409
Salinas,1932,Unión_Republicana,577
San Germán,1932,Unión_Republicana,2877
San Juan,1932,Unión_Republicana,13144
San Lorenzo,1932,Unión_Republicana,807
San Sebastián,1932,Unión_Republicana,677
Santa Isabel,1932,Unión_Republicana,617
Toa Alta,1932,Unión_Republicana,1082
Toa Baja,1932,Unión_Republicana,1549
Trujillo Alto,1932,Unión_Republicana,593
Utuado,1932,Unión_Republicana,1351
Vega Alta,1932,Unión_Republicana,118
Vega Baja,1932,Unión_Republicana,437
Vieques,1932,Unión_Republicana,136
Villalba,1932,Unión_Republicana,1082
Yabucoa,1932,Unión_Republicana,243
Yauco,1932,Unión_Republicana,3550
Adjuntas,1932,Partido_Socialista,1192
Aguada,1932,Partido_Socialista,1282
Aguadilla,1932,Partido_Socialista,1069
Aguas Buenas,1932,Partido_Socialista,235
Aibonito,1932,Partido_Socialista,458
Añasco,1932,Partido_Socialista,1535
