municipios,year_data,partido,votos
Adjuntas,1948,Partido_Popular_Democrático,4116
Aguada,1948,Partido_Popular_Democrático,4004
Aguadilla,1948,Partido_Popular_Democrático,5960
Aguas Buenas,1948,Partido_Popular_Democrático,2362
Aibonito,1948,Partido_Popular_Democrático,4059
Añasco,1948,Partido_Popular_Democrático,3347
Arecibo,1948,Partido_Popular_Democrático,15213
Arroyo,1948,Partido_Popular_Democrático,2588
Barceloneta,1948,Partido_Popular_Democrático,4743
Barranquitas,1948,Partido_Popular_Democrático,4117
Bayamón,1948,Partido_Popular_Democrático,8887
Cabo Rojo,1948,Partido_Popular_Democrático,5208
Caguas,1948,Partido_Popular_Democrático,8100
Camuy,1948,Partido_Popular_Democrático,4325
Carolina,1948,Partido_Popular_Democrático,4404
Cataño,1948,Partido_Popular_Democrático,2641
Cayey,1948,Partido_Popular_Democrático,7315
Ceiba,1948,Partido_Popular_Democrático,1736
Ciales,1948,Partido_Popular_Democrático,4142
Cidra,1948,Partido_Popular_Democrático,3753
Coamo,1948,Partido_Popular_Democrático,5912
Comerío,1948,Partido_Popular_Democrático,4201
Corozal,1948,Partido_Popular_Democrático,3949
Culebra,1948,Partido_Popular_Democrático,187
Dorado,1948,Partido_Popular_Democrático,2480
Fajardo,1948,Partido_Popular_Democrático,3835
Guánica,1948,Partido_Popular_Democrático,2943
Guayama,1948,Partido_Popular_Democrático,8235
Guayanilla,1948,Partido_Popular_Democrático,3941
Guaynabo,1948,Partido_Popular_Democrático,3088
Gurabo,1948,Partido_Popular_Democrático,3161
Hatillo,1948,Partido_Popular_Democrático,3552
Hormigueros,1948,Partido_Popular_Democrático,1544
Humacao,1948,Partido_Popular_Democrático,8013
Isabela,1948,Partido_Popular_Democrático,6158
Jayuya,1948,Partido_Popular_Democrático,2846
Juana Díaz,1948,Partido_Popular_Democrático,6140
Juncos,1948,Partido_Popular_Democrático,3606
Lajas,1948,Partido_Popular_Democrático,3740
Lares,1948,Partido_Popular_Democrático,4714
Las Marías,1948,Partido_Popular_Democrático,2118
Las Piedras,1948,Partido_Popular_Democrático,2855
Loíza,1948,Partido_Popular_Democrático,3983
Luquillo,1948,Partido_Popular_Democrático,2077
Manatí,1948,Partido_Popular_Democrático,7196
Maricao,1948,Partido_Popular_Democrático,1483
Maunabo,1948,Partido_Popular_Democrático,2516
Mayagüez,1948,Partido_Popular_Democrático,14799
Moca,1948,Partido_Popular_Democrático,3516
Morovis,1948,Partido_Popular_Democrático,3919
Naguabo,1948,Partido_Popular_Democrático,4023
Naranjito,1948,Partido_Popular_Democrático,3501
Orocovis,1948,Partido_Popular_Democrático,3323
Patillas,1948,Partido_Popular_Democrático,3685
Peñuelas,1948,Partido_Popular_Democrático,3115
Ponce,1948,Partido_Popular_Democrático,19752
Quebradillas,1948,Partido_Popular_Democrático,2599
Rincón,1948,Partido_Popular_Democrático,2215
Río Grande,1948,Partido_Popular_Democrático,3496
Río Piedras,1948,Partido_Popular_Democrático,13361
Sabana Grande,1948,Partido_Popular_Democrático,3807
Salinas,1948,Partido_Popular_Democrático,6457
San Germán,1948,Partido_Popular_Democrático,6530
San Juan,1948,Partido_Popular_Democrático,31506
San Lorenzo,1948,Partido_Popular_Democrático,3209
San Sebastián,1948,Partido_Popular_Democrático,6654
Santa Isabel,1948,Partido_Popular_Democrático,3131
Toa Alta,1948,Partido_Popular_Democrático,3169
Toa Baja,1948,Partido_Popular_Democrático,2804
Trujillo Alto,1948,Partido_Popular_Democrático,2607
Utuado,1948,Partido_Popular_Democrático,7451
Vega Alta,1948,Partido_Popular_Democrático,3147
Vega Baja,1948,Partido_Popular_Democrático,5856
Vieques,1948,Partido_Popular_Democrático,1885
Villalba,1948,Partido_Popular_Democrático,3463
Yabucoa,1948,Partido_Popular_Democrático,7330
Yauco,1948,Partido_Popular_Democrático,6583
Adjuntas,1952,Partido_Popular_Democrático,4197
Aguada,1952,Partido_Popular_Democrático,4024
Aguadilla,1952,Partido_Popular_Democrático,5757
