,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_P_S_P,pct_P_S_P,votos_Local,pct_Local,votos_Independiente,pct_Independiente,total
0,Adjuntas,"4,496",49.4,"4,416",48.5,163,1.8,22,0.2, , , , ,"9,097"
1,Aguada,"6,781",51.8,"5,802",44.3,372,2.8,147,1.1, , , , ,"13,102"
2,Aguadilla,"12,586",52.0,"10,665",44.0,799,3.3,167,0.7, , , , ,"24,217"
3,Aguas Buenas,"4,492",45.0,"4,796",48.0,653,6.5,52,0.5, , , , ,"9,993"
4,Aibonito,"2,986",37.6,"4,583",57.7,324,4.1,52,0.7, , , , ,"7,945"
5,Añasco,"5,209",47.9,"5,471",50.3,180,1.7,9,0.1, , , , ,"10,869"
6,Arecibo,"21,622",50.0,"19,810",45.8,"1,582",3.7,260,0.6, , , , ,"43,274"
7,Arroyo,"3,472",47.7,"3,107",42.6,687,9.4,19,0.3, , , , ,"7,285"
8,Barceloneta,"4,841",50.8,"4,438",46.6,151,1.6,100,1.0, , , , ,"9,530"
9,Barranquitas,"5,136",50.8,"4,562",45.1,356,3.5,64,0.6, , , , ,"10,118"
10,Bayamón,"47,758",51.5,"38,951",42.0,"5,461",5.9,641,0.7, , , , ,"92,811"
11,Cabo Rojo,"4,802",30.5,"7,171",45.6,"3,665",23.3,88,0.6, , , , ,"15,726"
12,Caguas,"25,819",48.0,"24,852",46.3,"2,564",4.8,499,0.9, , , , ,"53,734"
13,Camuy,"5,722",48.2,"5,797",48.8,245,2.1,103,0.9, , , , ,"11,867"
14,Canóvanas,"5,536",41.1,"7,178",53.2,769,5.7, , , , , , ,"13,483"
15,Carolina,"35,470",52.3,"27,817",41.0,"4,034",6.0,456,0.7, , , , ,"67,777"
16,Cataño,"6,547",57.4,"4,178",36.6,619,5.4,65,0.6, , , , ,"11,409"
17,Cayey,"7,586",42.2,"9,543",53.0,702,3.9,159,0.9, , , , ,"17,990"
18,Ceiba,"2,462",51.2,"2,221",46.2,99,2.1,26,0.5, , ,1,0.0,"4,809"
19,Ciales,"4,343",52.8,"3,751",45.6,93,1.1,46,0.6, , , , ,"8,233"
20,Cidra,"5,659",46.1,"5,824",47.4,749,6.1,44,0.4, , , , ,"12,276"
21,Coamo,"7,335",51.7,"6,573",46.3,255,1.8,26,0.2, , , , ,"14,189"
22,Comerío,"3,678",42.1,"4,591",52.6,395,4.5,71,0.8, , , , ,"8,735"
23,Corozal,"6,915",50.0,"6,493",47.0,395,2.9,18,0.1, , , , ,"13,821"
24,Culebra,167,29.7,296,52.6,99,17.6, , ,1,0.2, , ,563
