,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_P_S_P,pct_P_S_P,votos_Independiente,pct_Independiente,votos_Write-in,pct_Write-in,total
0,Adjuntas,"4,998",48.3,"5,191",50.1,160,1.5,6,0.1, , , , ,"10,355"
1,Aguada,"7,682",49.2,"7,374",47.2,445,2.9,110,0.7, , , , ,"15,611"
2,Aguadilla,"12,798",47.7,"12,985",48.4,933,3.5,105,0.4, , , , ,"26,821"
3,Aguas Buenas,"5,453",47.2,"5,458",47.2,628,5.4,26,0.2, , , , ,"11,565"
4,Aibonito,"4,011",36.5,"4,405",40.0,299,2.7,28,0.3,5,0.0,"2,253",20.5,"11,001"
5,Añasco,"5,801",47.1,"6,223",50.5,289,2.3,6,0.0, , , , ,"12,319"
6,Arecibo,"22,678",48.7,"22,335",47.9,"1,586",3.4, , , , , , ,"46,599"
7,Arroyo,"4,383",48.9,"4,095",45.7,479,5.3,3,0.0, , , , ,"8,960"
8,Barceloneta,"5,379",49.7,"5,270",48.7,163,1.5,18,0.2, , , , ,"10,830"
9,Barranquitas,"5,889",48.4,"5,897",48.4,335,2.8,51,0.4, , , , ,"12,172"
10,Bayamón,"52,884",52.4,"41,697",41.3,"6,135",6.1,284,0.3, , , , ,"101,000"
11,Cabo Rojo,"6,546",36.3,"7,679",42.6,"3,786",21.0, , , , , , ,"18,011"
12,Caguas,"27,881",47.1,"27,994",47.3,"3,186",5.4,168,0.3, , , , ,"59,229"
13,Camuy,"6,640",47.7,"6,992",50.3,281,2.0, , , , , , ,"13,913"
14,Canóvanas,"6,373",42.4,"8,009",53.3,623,4.1,13,0.1, , , , ,"15,018"
15,Carolina,"36,290",49.8,"30,577",41.9,"5,878",8.1,192,0.3, , , , ,"72,937"
16,Cataño,"6,844",55.6,"4,758",38.7,674,5.5,33,0.3, , , , ,"12,309"
17,Cayey,"9,135",43.4,"10,926",52.0,861,4.1,107,0.5, , , , ,"21,029"
18,Ceiba,"2,783",49.3,"2,716",48.1,129,2.3,18,0.3, , , , ,"5,646"
19,Ciales,"4,306",49.3,"4,189",48.0,226,2.6,11,0.1, , , , ,"8,732"
20,Cidra,"6,974",47.1,"6,858",46.3,966,6.5,17,0.1, , , , ,"14,815"
21,Coamo,"7,979",47.2,"8,652",51.1,267,1.6,21,0.1, , , , ,"16,919"
22,Comerío,"4,465",44.4,"5,196",51.6,351,3.5,50,0.5, , , , ,"10,062"
23,Corozal,"7,784",49.5,"7,391",47.0,544,3.5, , , , , , ,"15,719"
24,Culebra,252,35.2,370,51.7,93,13.0, , , , , , ,715
25,Dorado,"4,732",37.0,"7,543",58.9,489,3.8,37,0.3, , , , ,"12,801"
26,Fajardo,"7,442",48.2,"7,391",47.9,564,3.7,27,0.2, , , , ,"15,424"
27,Florida,"2,043",51.6,"1,800",45.4,118,3.0, , , , , , ,"3,961"
28,Guánica,"4,123",43.8,"4,759",50.6,497,5.3,33,0.4, , , , ,"9,412"
29,Guayama,"8,684",46.8,"9,062",48.8,767,4.1,51,0.3, , , , ,"18,564"
30,Guayanilla,"4,410",41.6,"5,169",48.7,940,8.9,93,0.9, , , , ,"10,612"
31,Guaynabo,"21,105",52.4,"16,881",41.9,"2,153",5.3,109,0.3, , , , ,"40,248"
32,Gurabo,"5,968",47.4,"6,164",49.0,221,1.8,24,0.2,203,1.6, , ,"12,580"
33,Hatillo,"6,924",44.8,"8,186",52.9,310,2.0,41,0.3, , , , ,"15,461"
34,Hormigueros,"3,159",41.4,"4,151",54.4,306,4.0,18,0.2, , , , ,"7,634"
35,Humacao,"10,326",43.1,"12,707",53.0,860,3.6,85,0.4, , , , ,"23,978"
36,Isabela,"8,337",43.7,"10,026",52.5,629,3.3,96,0.5, , , , ,"19,088"
37,Jayuya,"3,871",49.7,"3,603",46.3,297,3.8,19,0.2, , , , ,"7,790"
38,Juana Díaz,"9,365",48.5,"9,383",48.6,554,2.9,17,0.1, , , , ,"19,319"
39,Juncos,"7,326",50.4,"6,798",46.8,393,2.7,22,0.2, , , , ,"14,539"
40,Lajas,"4,667",41.5,"6,324",56.2,245,2.2,7,0.1, , , , ,"11,243"
41,Lares,"6,530",46.0,"7,065",49.8,546,3.8,56,0.4, , , , ,"14,197"
42,Las Marías,"1,800",39.6,"2,567",56.5,176,3.9, , , , , , ,"4,543"
43,Las Piedras,"6,612",50.3,"6,249",47.6,243,1.8,37,0.3, , , , ,"13,141"
44,Loíza,"5,419",63.5,"2,870",33.7,232,2.7,7,0.1, , , , ,"8,528"
45,Luquillo,"3,824",49.2,"3,776",48.5,164,2.1,14,0.2, , , , ,"7,778"
46,Manatí,"10,442",53.0,"8,633",43.8,598,3.0,45,0.2, , , , ,"19,718"
47,Maricao,"1,627",47.2,"1,770",51.3,53,1.5,0,0.0, , , , ,"3,450"
48,Maunabo,"3,011",45.8,"3,218",48.9,336,5.1,10,0.2, , , , ,"6,575"
49,Mayagüez,"20,622",42.1,"26,242",53.6,"1,921",3.9,146,0.3, , , , ,"48,931"
50,Moca,"7,304",49.3,"7,177",48.4,319,2.2,25,0.2, , , , ,"14,825"
51,Morovis,"5,431",46.1,"6,130",52.1,172,1.5,42,0.4, , , , ,"11,775"
52,Naguabo,"5,401",48.1,"5,658",50.4,164,1.5,11,0.1, , , , ,"11,234"
53,Naranjito,"4,761",36.1,"7,895",59.9,483,3.7,36,0.3, , , , ,"13,175"
54,Orocovis,"5,666",51.0,"5,197",46.7,139,1.3,115,1.0, , , , ,"11,117"
55,Patillas,"4,797",47.3,"4,971",49.0,351,3.5,23,0.2, , , , ,"10,142"
56,Peñuelas,"3,867",40.5,"5,023",52.6,621,6.5,36,0.4, , , , ,"9,547"
57,Ponce,"40,852",49.9,"31,368",38.3,"9,546",11.7,162,0.2, , , , ,"81,928"
58,Quebradillas,"4,829",46.5,"5,197",50.0,319,3.1,51,0.5, , , , ,"10,396"
59,Rincón,"2,664",40.7,"3,751",57.3,126,1.9,3,0.0, , , , ,"6,544"
60,Río Grande,"8,285",50.7,"7,392",45.3,622,3.8,36,0.2, , , , ,"16,335"
61,Sabana Grande,"3,500",31.7,"7,194",65.1,347,3.1,12,0.1, , , , ,"11,053"
62,Salinas,"5,206",41.0,"6,920",54.6,410,3.2,16,0.1,132,1.0, , ,"12,684"
63,San Germán,"7,424",42.7,"9,346",53.8,565,3.3,47,0.3, , , , ,"17,382"
64,San Juan,"117,797",53.5,"86,346",39.2,"14,767",6.7,"1,259",0.6, , , , ,"220,169"
