,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_R_P,pct_P_R_P,votos_Independiente,pct_Independiente,total
0,Adjuntas,"5,392",49.8,"4,916",45.4,186,1.7,328,3.0, , ,"10,822"
1,Aguada,"7,889",44.7,"9,246",52.4,365,2.1,159,0.9, , ,"17,659"
2,Aguadilla,"13,731",48.4,"13,555",47.8,596,2.1,479,1.7, , ,"28,361"
3,Aguas Buenas,"6,329",48.3,"6,162",47.0,504,3.8,119,0.9, , ,"13,114"
4,Aibonito,"7,331",58.8,"4,558",36.5,426,3.4,160,1.3, , ,"12,475"
5,Añasco,"6,451",49.0,"6,419",48.8,211,1.6,72,0.5, , ,"13,153"
6,Arecibo,"25,476",50.7,"23,451",46.7,995,2.0,328,0.7, , ,"50,250"
7,Arroyo,"4,682",46.2,"4,965",49.0,343,3.4,141,1.4, , ,"10,131"
8,Barceloneta,"5,962",51.2,"5,457",46.8,137,1.2,94,0.8, , ,"11,650"
9,Barranquitas,"6,493",49.2,"6,179",46.8,496,3.8,40,0.3, , ,"13,208"
10,Bayamón,"44,632",41.5,"58,773",54.6,"3,628",3.4,582,0.5, , ,"107,615"
11,Cabo Rojo,"9,707",49.9,"7,655",39.4,"1,042",5.4,"1,049",5.4, , ,"19,453"
12,Caguas,"32,687",51.5,"27,874",44.0,"2,345",3.7,506,0.8, , ,"63,412"
13,Camuy,"7,626",49.9,"7,207",47.1,279,1.8,178,1.2, , ,"15,290"
14,Canóvanas,"8,978",53.6,"6,979",41.6,560,3.3,246,1.5, , ,"16,763"
15,Carolina,"38,271",47.6,"36,578",45.5,"3,488",4.3,"2,101",2.6, , ,"80,438"
16,Cataño,"5,373",38.7,"7,028",50.6,522,3.8,964,6.9, , ,"13,887"
17,Cayey,"12,020",54.9,"7,966",36.4,"1,146",5.2,775,3.5, , ,"21,907"
18,Ceiba,"3,337",52.6,"2,878",45.4,59,0.9,68,1.1, , ,"6,342"
19,Ciales,"4,803",48.5,"4,815",48.6,175,1.8,112,1.1, , ,"9,905"
20,Cidra,"8,006",47.8,"7,625",45.5,828,4.9,301,1.8, , ,"16,760"
21,Coamo,"9,200",50.7,"8,380",46.2,266,1.5,306,1.7, , ,"18,152"
22,Comerío,"6,230",56.7,"4,370",39.7,307,2.8,89,0.8, , ,"10,996"
23,Corozal,"7,987",45.1,"9,258",52.3,380,2.1,80,0.5, , ,"17,705"
24,Culebra,522,63.3,269,32.6,33,4.0,1,0.1, , ,825
25,Dorado,"9,390",64.9,"4,450",30.7,511,3.5,124,0.9, , ,"14,475"
26,Fajardo,"8,084",48.1,"7,585",45.1,365,2.2,625,3.7,154,0.9,"16,813"
27,Florida,"2,150",46.8,"1,964",42.8,394,8.6,82,1.8, , ,"4,590"
28,Guánica,"4,488",45.8,"4,425",45.2,398,4.1,484,4.9, , ,"9,795"
29,Guayama,"10,318",52.9,"8,484",43.5,495,2.5,222,1.1, , ,"19,519"
30,Guayanilla,"5,172",47.2,"5,149",47.0,537,4.9,108,1.0, , ,"10,966"
31,Guaynabo,"16,602",38.7,"24,156",56.3,"1,618",3.8,522,1.2, , ,"42,898"
32,Gurabo,"6,778",49.8,"6,454",47.4,252,1.8,139,1.0, , ,"13,623"
33,Hatillo,"8,660",51.8,"7,753",46.4,228,1.4,69,0.4, , ,"16,710"
34,Hormigueros,"5,081",62.4,"2,680",32.9,279,3.4,102,1.3, , ,"8,142"
35,Humacao,"15,008",57.6,"10,196",39.1,621,2.4,238,0.9, , ,"26,063"
36,Isabela,"10,215",50.6,"9,339",46.2,497,2.5,149,0.7, , ,"20,200"
37,Jayuya,"4,227",49.8,"3,995",47.1,190,2.2,73,0.9, , ,"8,485"
38,Juana Díaz,"11,476",52.9,"9,622",44.4,336,1.5,259,1.2, , ,"21,693"
39,Juncos,"7,513",47.7,"7,909",50.2,229,1.5,116,0.7, , ,"15,767"
40,Lajas,"7,376",61.8,"4,228",35.4,177,1.5,149,1.2, , ,"11,930"
41,Lares,"7,742",51.3,"6,850",45.4,454,3.0,40,0.3, , ,"15,086"
42,Las Marías,"2,804",57.7,"1,884",38.8,131,2.7,38,0.8, , ,"4,857"
43,Las Piedras,"7,064",50.3,"6,626",47.2,175,1.2,169,1.2, , ,"14,034"
44,Loíza,"4,329",38.3,"6,618",58.6,247,2.2,104,0.9, , ,"11,298"
45,Luquillo,"4,601",51.1,"4,135",46.0,164,1.8,98,1.1, , ,"8,998"
46,Manatí,"10,049",45.3,"11,692",52.7,345,1.6,111,0.5, , ,"22,197"
47,Maricao,"1,968",55.7,"1,492",42.2,40,1.1,34,1.0, , ,"3,534"
48,Maunabo,"3,222",48.1,"3,128",46.7,293,4.4,53,0.8, , ,"6,696"
49,Mayagüez,"27,742",55.1,"20,688",41.1,"1,506",3.0,415,0.8, , ,"50,351"
50,Moca,"7,991",49.3,"7,872",48.5,227,1.4,134,0.8, , ,"16,224"
51,Morovis,"6,602",51.5,"5,730",44.7,384,3.0,99,0.8, , ,"12,815"
52,Naguabo,"5,769",49.5,"4,815",41.4,111,1.0,948,8.1, , ,"11,643"
53,Naranjito,"8,348",57.8,"5,522",38.2,513,3.6,60,0.4, , ,"14,443"
54,Orocovis,"5,657",46.6,"6,279",51.7,152,1.3,54,0.4, , ,"12,142"
55,Patillas,"5,506",53.4,"4,353",42.2,332,3.2,112,1.1, , ,"10,303"
56,Peñuelas,"6,100",56.9,"3,694",34.4,774,7.2,156,1.5, , ,"10,724"
57,Ponce,"38,146",45.0,"38,378",45.3,"4,752",5.6,"3,466",4.1, , ,"84,742"
58,Quebradillas,"5,767",52.4,"4,801",43.6,296,2.7,148,1.3, , ,"11,012"
