,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Independiente,pct_Independiente,votos_Local,pct_Local,votos_Otros,pct_Otros,total
0,Adjuntas,"5,819",52.3,"5,113",46.0,179,1.6, , , , ,9,0.1,"11,120"
1,Aguada,"11,106",55.3,"8,500",42.3,471,2.4, , , , ,4,0.0,"20,081"
2,Aguadilla,"14,992",50.3,"10,016",33.6,738,2.5, , , , ,"4,039",13.6,"29,785"
3,Aguas Buenas,"8,745",57.7,"5,941",39.2,465,3.1, , , , ,0,0.0,"15,151"
4,Aibonito,"5,315",37.5,"6,044",42.6,"2,492",17.6,69,0.5, , ,255,1.8,"14,175"
5,Añasco,"8,263",53.5,"7,026",45.5,150,1.0, , , , ,5,0.0,"15,444"
6,Arecibo,"28,123",52.3,"24,167",44.9,"1,515",2.8, , , , ,13,0.0,"53,818"
7,Arroyo,"5,362",50.6,"4,944",46.6,297,2.8, , , , ,2,0.0,"10,605"
8,Barceloneta,"6,132",48.6,"6,208",49.2,232,1.8,45,0.4, , ,6,0.1,"12,623"
9,Barranquitas,"8,234",53.5,"6,817",44.3,327,2.1, , , , ,3,0.0,"15,381"
10,Bayamón,"74,114",64.8,"36,407",31.8,"3,842",3.4, , , , ,29,0.0,"114,392"
11,Cabo Rojo,"9,970",45.2,"11,223",50.9,797,3.6, , , , ,76,0.3,"22,066"
12,Caguas,"32,331",46.7,"33,571",48.5,"3,283",4.7, , , , ,26,0.0,"69,211"
13,Camuy,"10,018",55.3,"7,856",43.3,239,1.3, , , , ,17,0.1,"18,130"
14,Canóvanas,"9,639",50.0,"9,055",47.0,565,2.9, , , , ,28,0.2,"19,287"
15,Carolina,"37,732",42.3,"48,749",54.7,"2,642",3.0, , , , ,28,0.0,"89,151"
16,Cataño,"7,865",51.5,"6,963",45.6,411,2.7, , , , ,23,0.2,"15,262"
17,Cayey,"7,921",33.0,"13,401",55.8,"2,694",11.2, , , , ,15,0.1,"24,031"
18,Ceiba,"3,672",52.8,"3,193",45.9,91,1.3, , , , ,3,0.0,"6,959"
19,Ciales,"5,793",53.9,"4,738",44.1,207,1.9, , , , ,2,0.0,"10,740"
20,Cidra,"11,053",57.2,"7,272",37.6,"1,007",5.2, , , , ,4,0.0,"19,336"
21,Coamo,"8,634",45.5,"9,932",52.4,363,1.9, , , , ,30,0.2,"18,959"
22,Comerío,"6,058",51.1,"5,574",47.0,224,1.9, , , , ,2,0.0,"11,858"
23,Corozal,"11,173",56.8,"8,138",41.4,354,1.8, , , , ,5,0.0,"19,670"
24,Culebra,453,44.5,496,48.8,68,6.7, , , , ,0,0.0,"1,017"
25,Dorado,"7,493",43.2,"9,431",54.4,394,2.3, , , , ,7,0.0,"17,325"
26,Fajardo,"10,901",58.3,"7,305",39.1,481,2.6, , , , ,14,0.1,"18,701"
27,Florida,"2,643",49.3,"2,546",47.5,175,3.3, , , , ,1,0.0,"5,365"
28,Guánica,"5,728",54.5,"4,354",41.4,361,3.4,54,0.5, , ,10,0.1,"10,507"
29,Guayama,"8,454",41.6,"11,243",55.4,589,2.9, , , , ,25,0.1,"20,311"
30,Guayanilla,"6,154",51.8,"5,362",45.1,349,2.9, , , , ,18,0.2,"11,883"
31,Guaynabo,"28,010",58.9,"17,493",36.8,"2,049",4.3, , , , ,47,0.1,"47,599"
32,Gurabo,"8,238",50.6,"7,763",47.7,286,1.8, , , , ,3,0.0,"16,290"
33,Hatillo,"9,604",49.3,"9,614",49.3,277,1.4, , , , ,3,0.0,"19,498"
34,Hormigueros,"3,137",34.6,"5,501",60.7,372,4.1, , , , ,46,0.5,"9,056"
35,Humacao,"13,303",47.5,"13,267",47.4,"1,398",5.0, , , , ,17,0.1,"27,985"
36,Isabela,"11,833",51.6,"10,672",46.6,406,1.8, , , , ,14,0.1,"22,925"
37,Jayuya,"4,751",51.7,"4,243",46.2,194,2.1, , , , ,1,0.0,"9,189"
38,Juana Díaz,"12,276",51.8,"10,507",44.3,344,1.5, , , , ,576,2.4,"23,703"
39,Juncos,"9,144",53.7,"7,600",44.6,283,1.7, , , , ,2,0.0,"17,029"
40,Lajas,"4,565",35.6,"6,505",50.7,468,3.7, , , , ,"1,298",10.1,"12,836"
41,Lares,"8,434",51.0,"7,724",46.7,381,2.3, , , , ,10,0.1,"16,549"
42,Las Marías,"2,518",45.9,"2,849",51.9,107,2.0, , , , ,11,0.2,"5,485"
43,Las Piedras,"9,652",58.1,"6,706",40.4,249,1.5, , , , ,6,0.0,"16,613"
44,Loíza,"8,929",68.0,"3,907",29.7,296,2.3, , , , ,9,0.1,"13,141"
45,Luquillo,"5,425",53.9,"4,385",43.6,221,2.2, , , , ,30,0.3,"10,061"
46,Manatí,"13,599",57.5,"9,573",40.5,457,1.9, , , , ,7,0.0,"23,636"
47,Maricao,"2,066",55.8,"1,610",43.5,26,0.7, , , , ,0,0.0,"3,702"
48,Maunabo,"3,715",50.9,"3,315",45.5,262,3.6, , , , ,1,0.0,"7,293"
49,Mayagüez,"19,634",37.3,"30,534",58.0,"2,510",4.8, , , , ,8,0.0,"52,686"
50,Moca,"10,654",58.9,"6,798",37.6,622,3.4, , , , ,23,0.1,"18,097"
51,Morovis,"7,781",52.7,"6,727",45.5,255,1.7, , , , ,13,0.1,"14,776"
52,Naguabo,"6,394",50.0,"6,153",48.1,235,1.8, , , , ,3,0.0,"12,785"
53,Naranjito,"7,076",42.6,"7,833",47.1,360,2.2, , , , ,"1,348",8.1,"16,617"
54,Orocovis,"7,502",57.5,"5,311",40.7,238,1.8, , , , ,1,0.0,"13,052"
55,Patillas,"5,973",51.6,"5,289",45.7,310,2.7, , , , ,4,0.0,"11,576"
56,Peñuelas,"6,674",52.2,"5,650",44.2,457,3.6, , , , ,3,0.0,"12,784"
57,Ponce,"34,602",38.9,"52,602",59.2,"1,672",1.9, , , , ,20,0.0,"88,896"
58,Quebradillas,"6,013",46.3,"6,724",51.7,253,2.0, , , , ,7,0.1,"12,997"
59,Rincón,"3,829",49.8,"1,232",16.0,107,1.4, , , , ,"2,521",32.8,"7,689"
60,Río Grande,"12,924",56.5,"9,519",41.6,413,1.8, , , , ,2,0.0,"22,858"
61,Sabana Grande,"5,309",39.8,"7,818",58.6,193,1.5, , , , ,27,0.2,"13,347"
62,Salinas,"8,312",56.6,"6,142",41.9,218,1.5, , , , ,2,0.0,"14,674"
63,San Germán,"8,509",42.6,"11,057",55.3,402,2.0, , , , ,18,0.1,"19,986"
64,San Juan,"99,644",47.8,"101,432",48.7,"7,396",3.6, , , , ,26,0.0,"208,498"
65,San Lorenzo,"12,003",57.8,"8,239",39.7,507,2.4, , , , ,8,0.0,"20,757"
66,San Sebastián,"12,118",52.4,"10,337",44.7,654,2.8, , , , ,18,0.1,"23,127"
67,Santa Isabel,"5,701",53.1,"4,867",45.3,158,1.5, , , , ,8,0.1,"10,734"
68,Toa Alta,"12,867",59.2,"7,963",36.6,907,4.2, , , , ,4,0.0,"21,741"
69,Toa Baja,"22,898",53.5,"17,722",41.4,"1,835",4.3,73,0.2, , ,251,0.6,"42,779"
70,Trujillo Alto,"14,542",46.9,"15,098",48.7,"1,339",4.3, , , , ,39,0.1,"31,018"
71,Utuado,"11,246",54.8,"8,772",42.7,313,1.5,199,1.0, , ,4,0.0,"20,534"
72,Vega Alta,"9,013",49.1,"8,787",47.9,542,3.0, , , , ,15,0.1,"18,357"
73,Vega Baja,"13,244",44.2,"16,123",53.8,590,2.0, , , , ,2,0.0,"29,959"
74,Vieques,"3,008",54.8,"2,144",39.1,82,1.5,202,3.7,43,0.8,8,0.2,"5,487"
75,Villalba,"7,438",56.2,"5,622",42.5,166,1.3, , , , ,1,0.0,"13,227"
76,Yabucoa,"10,899",51.0,"10,155",47.6,297,1.4, , , , ,6,0.0,"21,357"
77,Yauco,"10,361",45.5,"11,212",49.3,"1,086",4.8, , , , ,91,0.4,"22,750"
78,"Total,Puerto Rico","935,257",50.1,"862,681",46.2,"58,195",3.1,642,0.0,43,0.0,"11,261",0.6,"1,868,079"
