,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Independiente,pct_Independiente,votos_Local,pct_Local,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
0,Adjuntas,"5,621",48.3,"5,764",49.5,128,1.1, , , , ,7,0.1,86,0.7,40,0.3,"11,646"
1,Aguada,"11,527",52.4,"9,955",45.2,300,1.4, , , , ,33,0.1,143,0.6,59,0.3,"22,017"
2,Aguadilla,"18,099",56.1,"13,270",41.1,560,1.7, , , , ,36,0.1,180,0.6,105,0.3,"32,250"
3,Aguas Buenas,"9,406",58.6,"5,881",36.6,651,4.1, , , , ,8,0.0,81,0.5,35,0.2,"16,062"
4,Aibonito,"4,669",30.9,"5,076",33.6,"2,313",15.3, , , , ,"2,851",18.9,116,0.8,69,0.5,"15,094"
5,Añasco,"8,707",54.2,"7,052",43.9,171,1.1, , , , ,13,0.1,68,0.4,49,0.3,"16,060"
6,Arecibo,"28,147",50.0,"25,924",46.1,"1,596",2.8, , , , ,49,0.1,397,0.7,163,0.3,"56,276"
7,Arroyo,"5,579",51.1,"5,000",45.8,253,2.3, , , , ,14,0.1,50,0.5,15,0.1,"10,911"
8,Barceloneta,"6,276",46.0,"7,072",51.9,174,1.3, , , , ,22,0.2,64,0.5,25,0.2,"13,633"
9,Barranquitas,"8,099",50.6,"7,468",46.6,346,2.2, , , , ,47,0.3,33,0.2,28,0.2,"16,021"
10,Bayamón,"72,025",62.7,"38,207",33.2,"3,804",3.3, , , , ,46,0.0,575,0.5,288,0.3,"114,945"
11,Cabo Rojo,"12,031",51.1,"10,348",44.0,902,3.8, , , , ,14,0.1,177,0.8,66,0.3,"23,538"
12,Caguas,"32,719",44.4,"37,368",50.7,"2,602",3.5, , , , ,31,0.0,457,0.6,536,0.7,"73,713"
13,Camuy,"10,834",54.3,"8,726",43.8,231,1.2, , , , ,10,0.1,87,0.4,53,0.3,"19,941"
