,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_Independiente,pct_Independiente,votos_Local,pct_Local,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
0,Adjuntas,"5,965",50.4,"5,537",46.8,150,1.3, , , , ,8,0.1,105,0.9,63,0.5,"11,828"
1,Aguada,"11,687",49.8,"11,203",47.7,383,1.6, , , , ,14,0.1,135,0.6,68,0.3,"23,490"
2,Aguadilla,"13,600",42.3,"17,604",54.7,641,2.0, , , , ,17,0.1,202,0.6,116,0.4,"32,180"
3,Aguas Buenas,"7,121",43.7,"8,269",50.8,757,4.6, , , , ,6,0.0,79,0.5,50,0.3,"16,282"
4,Aibonito,"7,016",43.9,"6,943",43.4,644,4.0,"1,205",7.5, , ,7,0.0,93,0.6,77,0.5,"15,985"
5,Añasco,"7,967",48.6,"8,070",49.2,209,1.3, , , , ,5,0.0,86,0.5,49,0.3,"16,386"
6,Arecibo,"27,935",50.6,"24,850",45.0,"1,770",3.2, , , , ,49,0.1,409,0.7,184,0.3,"55,197"
7,Arroyo,"4,931",45.7,"5,329",49.4,421,3.9, , , , ,6,0.1,56,0.5,42,0.4,"10,785"
8,Barceloneta,"6,989",54.3,"5,539",43.0,224,1.7, , , , ,6,0.0,64,0.5,56,0.4,"12,878"
9,Barranquitas,"7,517",44.6,"8,831",52.4,421,2.5, , , , ,2,0.0,39,0.2,29,0.2,"16,839"
10,Bayamón,"45,136",39.6,"63,367",55.6,"4,574",4.0, , , , ,36,0.0,534,0.5,317,0.3,"113,964"
11,Cabo Rojo,"10,456",42.4,"12,206",49.5,"1,774",7.2, , , , ,5,0.0,129,0.5,109,0.4,"24,679"
12,Caguas,"41,343",55.0,"30,684",40.8,"2,684",3.6, , , , ,12,0.0,278,0.4,195,0.3,"75,196"
13,Camuy,"9,586",46.4,"10,623",51.4,321,1.6, , , , ,3,0.0,103,0.5,45,0.2,"20,681"
14,Canóvanas,"8,986",41.8,"11,753",54.6,549,2.6, , , , ,13,0.1,115,0.5,93,0.4,"21,509"
15,Carolina,"52,242",57.0,"36,195",39.5,"2,695",2.9, , , , ,33,0.0,318,0.3,169,0.2,"91,652"
16,Cataño,"6,854",40.6,"9,469",56.1,403,2.4, , , , ,10,0.1,76,0.4,77,0.5,"16,889"
17,Cayey,"15,599",58.6,"9,554",35.9,"1,220",4.6, , , , ,18,0.1,143,0.5,103,0.4,"26,637"
18,Ceiba,"3,531",50.0,"3,299",46.7,144,2.0, , , , ,3,0.0,48,0.7,33,0.5,"7,058"
19,Ciales,"5,849",48.3,"5,986",49.5,166,1.4, , , , ,4,0.0,64,0.5,33,0.3,"12,102"
20,Cidra,"8,557",38.2,"12,649",56.5,"1,010",4.5, , , , ,4,0.0,88,0.4,89,0.4,"22,397"
21,Coamo,"11,156",52.6,"9,443",44.5,529,2.5, , , , ,2,0.0,55,0.3,41,0.2,"21,226"
22,Comerío,"6,232",50.0,"5,832",46.8,297,2.4, , , , ,13,0.1,45,0.4,35,0.3,"12,454"
23,Corozal,"9,936",46.0,"10,629",49.2,447,2.1, , , , ,461,2.1,71,0.3,73,0.3,"21,617"
24,Culebra,650,55.6,499,42.6,13,1.1, , , , ,0,0.0,4,0.3,4,0.3,"1,170"
25,Dorado,"11,770",62.6,"5,993",31.9,870,4.6, , , , ,15,0.1,87,0.5,56,0.3,"18,791"
26,Fajardo,"6,318",34.1,"11,390",61.4,644,3.5, , , , ,19,0.1,101,0.5,64,0.3,"18,536"
27,Florida,"2,894",41.2,"3,833",54.5,238,3.4, , , , ,2,0.0,33,0.5,30,0.4,"7,030"
28,Guánica,"7,067",60.0,"4,379",37.2,270,2.3, , , , ,4,0.0,36,0.3,24,0.2,"11,780"
29,Guayama,"11,351",52.5,"9,415",43.6,622,2.9, , , , ,11,0.1,132,0.6,70,0.3,"21,601"
30,Guayanilla,"6,252",48.9,"6,016",47.1,417,3.3, , , , ,8,0.1,53,0.4,28,0.2,"12,774"
31,Guaynabo,"16,851",33.3,"30,807",60.9,"2,478",4.9, , , , ,39,0.1,281,0.6,152,0.3,"50,608"
32,Gurabo,"9,803",52.4,"8,092",43.3,620,3.3, , , , ,13,0.1,97,0.5,74,0.4,"18,699"
33,Hatillo,"12,354",57.5,"8,618",40.1,319,1.5, , , , ,18,0.1,125,0.6,60,0.3,"21,494"
34,Hormigueros,"6,334",61.8,"3,209",31.3,439,4.3, , , , ,131,1.3,83,0.8,50,0.5,"10,246"
35,Humacao,"14,797",48.6,"14,483",47.6,965,3.2, , , , ,5,0.0,139,0.5,64,0.2,"30,453"
36,Isabela,"13,598",52.3,"11,783",45.3,477,1.8, , , , ,8,0.0,93,0.4,50,0.2,"26,009"
