,municipios,votos_Unión_Republicana,pct_Unión_Republicana,votos_Partido_Socialista,pct_Partido_Socialista,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Liberal_Puertorriqueño,pct_Partido_Liberal_Puertorriqueño,votos_Partido_Nacionalistade _Puerto_Rico,pct_Partido_Nacionalistade _Puerto_Rico,votos_Candidatos_Independientes,pct_Candidatos_Independientes,total
0,Adjuntas,"1,365",29.2,"1,192",25.5,"2,557",54.7,"2,113",45.2,6,0.1,0,0.0,"4,676"
1,Aguada,617,18.0,"1,282",37.4,"1,899",55.3,"1,525",44.4,6,0.2,1,0.0,"3,431"
2,Aguadilla,"4,050",52.7,"1,069",13.9,"5,119",66.6,"2,531",32.9,37,0.5,1,0.0,"7,688"
3,Aguas Buenas,722,36.8,235,12.0,957,48.8,934,47.7,69,3.5,0,0.0,"1,960"
4,Aibonito,"1,554",43.1,458,12.7,"2,012",55.8,"1,562",43.3,31,0.9,1,0.0,"3,606"
5,Añasco,447,12.7,"1,535",43.7,"1,982",56.4,"1,509",42.9,23,0.7,0,0.0,"3,514"
6,Arecibo,526,3.4,"6,903",45.2,"7,429",48.7,"7,639",50.1,191,1.3,2,0.0,"15,259"
7,Arroyo,88,3.8,"1,014",44.1,"1,102",47.9,"1,178",51.2,20,0.9,0,0.0,"2,300"
8,Barceloneta,311,8.3,"1,449",38.8,"1,760",47.2,"1,949",52.2,23,0.6,0,0.0,"3,732"
9,Barranquitas,333,12.0,124,4.5,457,16.5,"2,230",80.4,88,3.2,0,0.0,"2,775"
10,Bayamón,"2,768",40.2,"1,407",20.4,"4,175",60.6,"2,476",36.0,235,3.4,0,0.0,"6,886"
11,Cabo Rojo,"2,083",31.8,"1,705",26.0,"3,788",57.8,"2,696",41.2,65,1.0,0,0.0,"6,549"
12,Caguas,"2,181",17.7,"3,360",27.3,"5,541",45.0,"6,146",49.9,623,5.1,1,0.0,"12,311"
13,Camuy,"1,272",35.1,667,18.4,"1,939",53.5,"1,685",46.5,0,0.0,0,0.0,"3,624"
14,Carolina,787,17.4,"1,739",38.5,"2,526",56.0,"1,949",43.2,37,0.8,0,0.0,"4,512"
15,Cataño,"1,046",46.1,462,20.4,"1,508",66.5,754,33.2,7,0.3,0,0.0,"2,269"
16,Cayey,"2,148",29.0,"1,978",26.7,"4,126",55.7,"3,230",43.6,50,0.7,0,0.0,"7,406"
17,Ceiba,58,3.7,989,62.7,"1,047",66.4,526,33.4,4,0.3,0,0.0,"1,577"
