,municipios,votos_Partido_Unión_Republicana,pct_Partido_Unión_Republicana,votos_Partido_Socialista,pct_Partido_Socialista,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Liberal_Puertorriqueño,pct_Partido_Liberal_Puertorriqueño,total
0,Adjuntas,"1,581",23.4,"1,648",24.4,"3,229",47.8,"3,523",52.2,"6,752"
1,Aguada,"1,143",21.6,"1,995",37.7,"3,138",59.3,"2,157",40.7,"5,295"
2,Aguadilla,"5,438",51.5,"1,862",17.6,"7,300",69.1,"3,259",30.9,"10,559"
3,Aguas Buenas,"1,306",35.5,487,13.2,"1,793",48.7,"1,889",51.3,"3,682"
4,Aibonito,"2,025",39.5,677,13.2,"2,702",52.7,"2,429",47.3,"5,131"
5,Añasco,750,13.7,"2,455",44.8,"3,205",58.5,"2,274",41.5,"5,479"
6,Arecibo,660,2.9,"12,036",52.7,"12,696",55.6,"10,143",44.4,"22,839"
7,Arroyo,177,4.8,"1,666",44.9,"1,843",49.7,"1,867",50.3,"3,710"
8,Barceloneta,523,9.0,"2,828",48.6,"3,351",57.6,"2,466",42.4,"5,817"
9,Barranquitas,491,11.7,170,4.1,661,15.8,"3,526",84.2,"4,187"
10,Bayamón,"4,110",48.2,"1,690",19.8,"5,800",68.0,"2,729",32.0,"8,529"
11,Cabo Rojo,"2,612",27.8,"2,449",26.1,"5,061",53.9,"4,324",46.1,"9,385"
12,Caguas,"2,740",18.5,"3,972",26.9,"6,712",45.4,"8,080",54.6,"14,792"
13,Camuy,"2,003",33.0,"1,161",19.1,"3,164",52.1,"2,910",47.9,"6,074"
14,Carolina,887,16.8,"1,716",32.5,"2,603",49.3,"2,675",50.7,"5,278"
15,Cataño,"1,242",45.7,503,18.5,"1,745",64.2,971,35.8,"2,716"
16,Cayey,"2,455",25.8,"2,395",25.2,"4,850",51.0,"4,657",49.0,"9,507"
17,Ceiba,124,5.0,"1,479",60.1,"1,603",65.2,857,34.8,"2,460"
18,Ciales,"2,184",33.2,"1,502",22.8,"3,686",56.0,"2,898",44.0,"6,584"
19,Cidra,632,18.6,332,9.8,964,28.4,"2,427",71.6,"3,391"
20,Coamo,"4,338",62.7,684,9.9,"5,022",72.5,"1,902",27.5,"6,924"
21,Comerío,703,13.8,"1,021",20.0,"1,724",33.7,"3,388",66.3,"5,112"
22,Corozal,"2,717",49.6,261,4.8,"2,978",54.4,"2,497",45.6,"5,475"
23,Culebra,52,14.0,102,27.4,154,41.4,218,58.6,372
24,Dorado,"1,573",61.4,302,11.8,"1,875",73.2,688,26.8,"2,563"
25,Fajardo,327,4.7,"3,643",52.6,"3,970",57.3,"2,957",42.7,"6,927"
26,Guánica,"3,339",78.0,314,7.3,"3,653",85.4,626,14.6,"4,279"
27,Guayama,"1,695",16.4,"3,514",33.9,"5,209",50.3,"5,149",49.7,"10,358"
28,Guayanilla,"1,468",22.7,883,13.6,"2,351",36.3,"4,128",63.7,"6,479"
29,Guaynabo,"1,908",48.2,455,11.5,"2,363",59.7,"1,593",40.3,"3,956"
30,Gurabo,530,10.2,"2,188",42.2,"2,718",52.5,"2,461",47.5,"5,179"
31,Hatillo,577,10.1,"2,216",38.9,"2,793",49.0,"2,902",51.0,"5,695"
32,Hormigueros,199,8.5,"1,252",53.2,"1,451",61.7,901,38.3,"2,352"
33,Humacao,880,8.8,"4,011",40.1,"4,891",48.9,"5,112",51.1,"10,003"
34,Isabela,"2,927",43.5,740,11.0,"3,667",54.5,"3,065",45.5,"6,732"
35,Jayuya,535,12.3,"1,731",39.9,"2,266",52.2,"2,071",47.8,"4,337"
36,Juana Díaz,"1,952",28.1,"2,619",37.8,"4,571",65.9,"2,364",34.1,"6,935"
37,Juncos,325,4.9,"2,997",45.6,"3,322",50.5,"3,251",49.5,"6,573"
38,Lajas,"1,563",33.9,"1,687",36.6,"3,250",70.5,"1,357",29.5,"4,607"
39,Lares,"2,609",27.0,"2,817",29.2,"5,426",56.2,"4,228",43.8,"9,654"
40,Las Marías,366,16.5,977,44.2,"1,343",60.7,869,39.3,"2,212"
41,Las Piedras,637,16.3,"1,639",42.0,"2,276",58.4,"1,622",41.6,"3,898"
42,Loíza,214,3.3,"2,501",38.5,"2,715",41.8,"3,783",58.2,"6,498"
43,Luquillo,91,3.6,"1,314",52.0,"1,405",55.6,"1,124",44.4,"2,529"
44,Manatí,"3,439",35.1,"2,109",21.5,"5,548",56.6,"4,249",43.4,"9,797"
45,Maricao,554,24.0,615,26.7,"1,169",50.7,"1,135",49.3,"2,304"
46,Maunabo,478,15.2,"1,362",43.2,"1,840",58.3,"1,315",41.7,"3,155"
47,Mayagüez,"12,964",47.6,"2,499",9.2,"15,463",56.8,"11,775",43.2,"27,238"
48,Moca,"1,759",31.1,"2,012",35.6,"3,771",66.7,"1,884",33.3,"5,655"
49,Morovis,"2,792",49.7,491,8.7,"3,283",58.4,"2,336",41.6,"5,619"
50,Naguabo,443,8.1,"2,676",49.2,"3,119",57.3,"2,322",42.7,"5,441"
51,Naranjito,"1,645",37.0,459,10.3,"2,104",47.4,"2,336",52.6,"4,440"
52,Orocovis,"2,977",63.5,364,7.8,"3,341",71.2,"1,350",28.8,"4,691"
53,Patillas,251,5.0,"2,314",46.2,"2,565",51.2,"2,441",48.8,"5,006"
54,Peñuelas,"2,415",47.5,619,12.2,"3,034",59.7,"2,045",40.3,"5,079"
55,Ponce,"10,815",34.2,"5,747",18.2,"16,562",52.4,"15,073",47.6,"31,635"
56,Quebradillas,"1,239",32.2,303,7.9,"1,542",40.1,"2,304",59.9,"3,846"
57,Rincón,365,14.5,880,34.9,"1,245",49.4,"1,277",50.6,"2,522"
58,Río Grande,397,7.9,"2,315",46.0,"2,712",53.9,"2,317",46.1,"5,029"
59,Río Piedras,"4,305",35.5,"2,300",19.0,"6,605",54.4,"5,526",45.6,"12,131"
60,Sabana Grande,"1,885",36.6,909,17.6,"2,794",54.2,"2,360",45.8,"5,154"
61,Salinas,"1,209",19.6,"2,297",37.2,"3,506",56.8,"2,662",43.2,"6,168"
62,San Germán,"3,598",39.6,"1,397",15.4,"4,995",55.0,"4,086",45.0,"9,081"
63,San Juan,"16,253",37.3,"5,862",13.5,"22,115",50.8,"21,455",49.2,"43,570"
64,San Lorenzo,"1,310",18.8,"2,236",32.2,"3,546",51.0,"3,407",49.0,"6,953"
65,San Sebastián,"1,447",17.1,"2,865",33.9,"4,312",51.1,"4,129",48.9,"8,441"
66,Santa Isabel,"1,064",27.5,731,18.9,"1,795",46.4,"2,071",53.6,"3,866"
67,Toa Alta,"2,124",45.3,595,12.7,"2,719",57.9,"1,974",42.1,"4,693"
68,Toa Baja,"1,743",47.8,508,13.9,"2,251",61.7,"1,395",38.3,"3,646"
69,Trujillo Alto,"1,337",44.2,220,7.3,"1,557",51.5,"1,465",48.5,"3,022"
70,Utuado,"1,118",10.1,"4,159",37.4,"5,277",47.5,"5,831",52.5,"11,108"
71,Vega Alta,439,9.6,"2,094",45.6,"2,533",55.2,"2,057",44.8,"4,590"
72,Vega Baja,683,9.2,"3,421",46.0,"4,104",55.2,"3,328",44.8,"7,432"
73,Vieques,228,6.1,"1,662",44.3,"1,890",50.4,"1,858",49.6,"3,748"
74,Villalba,"1,160",36.2,352,11.0,"1,512",47.2,"1,694",52.8,"3,206"
75,Yabucoa,739,9.6,"3,198",41.4,"3,937",50.9,"3,792",49.1,"7,729"
76,Yauco,"4,956",42.4,"1,832",15.7,"6,788",58.1,"4,901",41.9,"11,689"
77,"Total,Puerto Rico","152,739",27.8,"144,294",26.3,"297,033",54.1,"252,467",45.9,"549,500"
