,municipios,votos_Partido_Unión_Republicana,pct_Partido_Unión_Republicana,votos_Partido_Socialista,pct_Partido_Socialista,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Unificación_Puertorriqueña_Tripartita,pct_Unificación_Puertorriqueña_Tripartita,votos_Partido_Agrícola_Purode _Puerto_Rico,pct_Partido_Agrícola_Purode _Puerto_Rico,votos_Total_Combinado,pct_Total_Combinado,total
0,Adjuntas,"2,029",30.6,"1,150",17.3,"3,179",47.9,"3,100",46.7,348,5.2,9,0.1,357,5.4,"6,636"
1,Aguada,396,7.7,"1,605",31.0,"2,001",38.7,"1,861",36.0,"1,293",25.0,15,0.3,"1,308",25.3,"5,170"
2,Aguadilla,"4,893",50.7,919,9.5,"5,812",60.3,"2,061",21.4,"1,737",18.0,35,0.4,"1,772",18.4,"9,645"
3,Aguas Buenas,"1,416",36.2,329,8.4,"1,745",44.6,452,11.6,"1,711",43.7,4,0.1,"1,715",43.8,"3,912"
4,Aibonito,"1,582",29.6,379,7.1,"1,961",36.7,"2,627",49.2,737,13.8,16,0.3,753,14.1,"5,341"
5,Añasco,614,12.3,"2,230",44.8,"2,844",57.1,853,17.1,"1,261",25.3,24,0.5,"1,285",25.8,"4,982"
6,Arecibo,895,4.0,"5,165",22.8,"6,060",26.8,"10,452",46.2,"6,074",26.9,32,0.1,"6,106",27.0,"22,618"
7,Arroyo,245,5.7,"1,196",27.8,"1,441",33.5,"1,174",27.3,"1,685",39.1,7,0.2,"1,692",39.3,"4,307"
8,Barceloneta,797,14.5,"1,631",29.6,"2,428",44.1,"2,845",51.7,223,4.0,12,0.2,235,4.3,"5,508"
9,Barranquitas,151,3.5,72,1.6,223,5.1,"3,439",78.8,693,15.9,10,0.2,703,16.1,"4,365"
10,Bayamón,"4,522",43.8,"1,251",12.1,"5,773",55.9,"3,294",31.9,"1,253",12.1,11,0.1,"1,264",12.2,"10,331"
11,Cabo Rojo,"1,066",11.2,586,6.1,"1,652",17.3,"4,904",51.4,"2,945",30.9,34,0.4,"2,979",31.2,"9,535"
12,Caguas,"1,910",12.5,804,5.3,"2,714",17.7,"6,501",42.5,"6,069",39.6,30,0.2,"6,099",39.8,"15,314"
13,Camuy,"1,853",30.3,"1,169",19.1,"3,022",49.4,"1,373",22.4,"1,712",28.0,10,0.2,"1,722",28.2,"6,117"
14,Carolina,722,13.3,"1,233",22.6,"1,955",35.9,"1,557",28.6,"1,921",35.3,12,0.2,"1,933",35.5,"5,445"
15,Cataño,"1,509",44.1,147,4.3,"1,656",48.4,374,10.9,"1,382",40.4,9,0.3,"1,391",40.7,"3,421"
16,Cayey,"2,677",26.8,"1,160",11.6,"3,837",38.4,"4,610",46.1,"1,531",15.3,20,0.2,"1,551",15.5,"9,998"
17,Ceiba,91,3.7,785,32.1,876,35.8,813,33.2,752,30.7,5,0.2,757,30.9,"2,446"
