,municipios,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Partido_Unión_Republicana_Progresista,pct_Partido_Unión_Republicana_Progresista,votos_Partido_Socialista,pct_Partido_Socialista,votos_Partido_Liberal_Puertorriqueño,pct_Partido_Liberal_Puertorriqueño,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Auténtico,pct_Partido_Auténtico,votos_Partido_Proletario,pct_Partido_Proletario,total
0,Adjuntas,"4,211",62.8,"1,671",24.9,690,10.3,126,1.9,"2,487",37.1,8,0.1,0,0.0,"6,706"
1,Aguada,"4,121",77.9,498,9.4,583,11.0,84,1.6,"1,165",22.0,2,0.0,0,0.0,"5,288"
2,Aguadilla,"6,377",58.3,"3,800",34.7,606,5.5,164,1.5,"4,570",41.7,0,0.0,0,0.0,"10,947"
3,Aguas Buenas,"1,901",46.0,"1,507",36.5,309,7.5,409,9.9,"2,225",53.9,4,0.1,0,0.0,"4,130"
4,Aibonito,"3,782",72.2,989,18.9,207,4.0,259,4.9,"1,455",27.8,2,0.0,0,0.0,"5,239"
5,Añasco,"2,869",54.5,422,8.0,"1,740",33.1,229,4.4,"2,391",45.5,0,0.0,0,0.0,"5,260"
6,Arecibo,"14,922",62.5,657,2.8,"7,272",30.5,"1,025",4.3,"8,954",37.5,1,0.0,0,0.0,"23,877"
7,Arroyo,"2,313",53.7,181,4.2,568,13.2,"1,248",28.9,"1,997",46.3,1,0.0,0,0.0,"4,311"
8,Barceloneta,"4,050",67.5,665,11.1,"1,209",20.1,78,1.3,"1,952",32.5,0,0.0,0,0.0,"6,002"
9,Barranquitas,"4,980",94.8,100,1.9,43,0.8,127,2.4,270,5.1,3,0.1,0,0.0,"5,253"
10,Bayamón,"6,653",57.6,"3,678",31.8,874,7.6,347,3.0,"4,899",42.4,1,0.0,1,0.0,"11,554"
11,Cabo Rojo,"6,916",77.1,980,10.9,278,3.1,795,8.9,"2,053",22.9,0,0.0,0,0.0,"8,969"
12,Caguas,"10,762",69.7,"1,776",11.5,766,5.0,"2,136",13.8,"4,678",30.3,4,0.0,1,0.0,"15,445"
13,Camuy,"3,842",56.5,"1,665",24.5,977,14.4,318,4.7,"2,960",43.5,0,0.0,1,0.0,"6,803"
14,Carolina,"3,602",64.3,622,11.1,862,15.4,512,9.1,"1,996",35.6,1,0.0,0,0.0,"5,599"
15,Cataño,"2,419",58.6,"1,330",32.2,178,4.3,198,4.8,"1,706",41.3,1,0.0,0,0.0,"4,126"
16,Cayey,"6,119",62.5,"2,045",20.9,970,9.9,654,6.7,"3,669",37.5,2,0.0,0,0.0,"9,790"
17,Ceiba,"1,969",71.3,75,2.7,661,23.9,56,2.0,792,28.7,0,0.0,0,0.0,"2,761"
18,Ciales,"4,318",66.4,"1,469",22.6,659,10.1,56,0.9,"2,184",33.6,0,0.0,0,0.0,"6,502"
19,Cidra,"3,112",65.6,636,13.4,245,5.2,746,15.7,"1,627",34.3,6,0.1,0,0.0,"4,745"
20,Coamo,"5,635",72.1,"1,857",23.8,255,3.3,64,0.8,"2,176",27.8,3,0.0,1,0.0,"7,815"
21,Comerío,"4,448",81.6,183,3.4,463,8.5,351,6.4,997,18.3,3,0.1,0,0.0,"5,448"
22,Corozal,"3,448",57.9,"1,987",33.4,353,5.9,162,2.7,"2,502",42.0,6,0.1,1,0.0,"5,957"
23,Culebra,159,46.4,66,19.2,98,28.6,20,5.8,184,53.6,0,0.0,0,0.0,343
24,Dorado,"2,229",65.9,942,27.8,104,3.1,108,3.2,"1,154",34.1,0,0.0,0,0.0,"3,383"
25,Fajardo,"4,012",56.5,297,4.2,"2,179",30.7,611,8.6,"3,087",43.5,1,0.0,0,0.0,"7,100"
26,Guánica,"3,171",74.5,850,20.0,96,2.3,140,3.3,"1,086",25.5,0,0.0,0,0.0,"4,257"
27,Guayama,"9,347",81.5,746,6.5,534,4.7,833,7.3,"2,113",18.4,7,0.1,0,0.0,"11,467"
28,Guayanilla,"4,399",67.3,702,10.7,163,2.5,"1,272",19.5,"2,137",32.7,1,0.0,0,0.0,"6,537"
29,Guaynabo,"2,625",50.3,"1,707",32.7,657,12.6,229,4.4,"2,593",49.7,1,0.0,0,0.0,"5,219"
30,Gurabo,"2,799",60.6,458,9.9,748,16.2,608,13.2,"1,814",39.3,3,0.1,0,0.0,"4,616"
31,Hatillo,"3,440",61.0,627,11.1,"1,220",21.6,349,6.2,"2,196",38.9,3,0.1,0,0.0,"5,639"
32,Hormigueros,"1,528",63.3,111,4.6,609,25.2,165,6.8,885,36.7,0,0.0,0,0.0,"2,413"
33,Humacao,"7,168",67.6,617,5.8,718,6.8,"2,100",19.8,"3,435",32.4,5,0.0,0,0.0,"10,608"
34,Isabela,"4,938",55.5,"3,102",34.9,706,7.9,154,1.7,"3,962",44.5,0,0.0,0,0.0,"8,900"
35,Jayuya,"3,261",76.3,243,5.7,695,16.3,72,1.7,"1,010",23.6,1,0.0,0,0.0,"4,272"
36,Juana Díaz,"5,821",68.9,"1,729",20.5,747,8.8,142,1.7,"2,618",31.0,5,0.1,0,0.0,"8,444"
37,Juncos,"3,538",52.4,329,4.9,"1,840",27.2,"1,044",15.5,"3,213",47.6,1,0.0,2,0.0,"6,754"
38,Lajas,"3,901",82.0,585,12.3,150,3.2,118,2.5,853,17.9,1,0.0,0,0.0,"4,755"
39,Lares,"4,894",63.9,"1,370",17.9,"1,038",13.5,361,4.7,"2,769",36.1,0,0.0,0,0.0,"7,663"
40,Las Marías,"1,866",80.6,155,6.7,270,11.7,22,1.0,447,19.3,2,0.1,0,0.0,"2,315"
41,Las Piedras,"2,417",55.2,372,8.5,"1,146",26.2,439,10.0,"1,957",44.7,2,0.0,0,0.0,"4,376"
42,Loíza,"4,275",61.1,282,4.0,"2,053",29.3,391,5.6,"2,726",38.9,1,0.0,0,0.0,"7,002"
43,Luquillo,"2,058",76.2,76,2.8,430,15.9,136,5.0,642,23.8,0,0.0,0,0.0,"2,700"
44,Manatí,"7,091",68.2,"2,196",21.1,"1,026",9.9,89,0.9,"3,311",31.8,1,0.0,0,0.0,"10,403"
45,Maricao,"1,726",82.7,194,9.3,114,5.5,50,2.4,358,17.2,2,0.1,0,0.0,"2,086"
46,Maunabo,"2,587",79.4,152,4.7,364,11.2,151,4.6,667,20.5,5,0.2,1,0.0,"3,260"
47,Mayagüez,"18,219",68.9,"6,347",24.0,749,2.8,"1,115",4.2,"8,211",31.1,3,0.0,0,0.0,"26,433"
48,Moca,"3,527",63.1,721,12.9,"1,271",22.7,70,1.3,"2,062",36.9,1,0.0,1,0.0,"5,591"
49,Morovis,"3,637",56.2,"2,603",40.2,170,2.6,58,0.9,"2,831",43.8,0,0.0,0,0.0,"6,468"
50,Naguabo,"3,970",68.0,449,7.7,"1,299",22.2,122,2.1,"1,870",32.0,1,0.0,0,0.0,"5,841"
51,Naranjito,"3,103",66.3,764,16.3,405,8.7,407,8.7,"1,576",33.7,1,0.0,0,0.0,"4,680"
52,Orocovis,"2,322",52.3,"1,928",43.5,119,2.7,64,1.4,"2,111",47.6,3,0.1,1,0.0,"4,437"
53,Patillas,"3,814",64.7,200,3.4,"1,499",25.4,380,6.4,"2,079",35.2,2,0.0,3,0.1,"5,898"
54,Peñuelas,"2,940",54.0,"2,170",39.8,258,4.7,80,1.5,"2,508",46.0,1,0.0,0,0.0,"5,449"
55,Ponce,"20,767",70.6,"6,000",20.4,"1,622",5.5,"1,023",3.5,"8,645",29.4,10,0.0,0,0.0,"29,422"
56,Quebradillas,"2,017",51.6,981,25.1,194,5.0,716,18.3,"1,891",48.4,3,0.1,0,0.0,"3,911"
57,Rincón,"2,296",79.9,164,5.7,211,7.3,197,6.9,572,19.9,3,0.1,1,0.0,"2,872"
58,Río Grande,"3,522",70.3,431,8.6,910,18.2,146,2.9,"1,487",29.7,3,0.1,0,0.0,"5,012"
59,Río Piedras,"12,269",61.6,"4,639",23.3,"1,597",8.0,"1,395",7.0,"7,631",38.3,0,0.0,3,0.0,"19,903"
60,Sabana Grande,"3,686",67.3,"1,018",18.6,563,10.3,206,3.8,"1,787",32.7,0,0.0,0,0.0,"5,473"
61,Salinas,"5,909",80.7,696,9.5,349,4.8,369,5.0,"1,414",19.3,0,0.0,0,0.0,"7,323"
62,San Germán,"7,403",70.7,"1,820",17.4,599,5.7,639,6.1,"3,058",29.2,8,0.1,0,0.0,"10,469"
63,San Juan,"27,799",54.1,"14,281",27.8,"4,083",7.9,"5,251",10.2,"23,615",45.9,2,0.0,0,0.0,"51,416"
64,San Lorenzo,"2,468",34.1,940,13.0,"1,605",22.1,"2,234",30.8,"4,779",65.9,0,0.0,1,0.0,"7,248"
65,San Sebastián,"5,889",63.2,700,7.5,"2,508",26.9,218,2.3,"3,426",36.8,2,0.0,3,0.0,"9,320"
66,Santa Isabel,"3,271",74.7,436,10.0,112,2.6,558,12.7,"1,106",25.3,2,0.0,0,0.0,"4,379"
67,Toa Alta,"3,162",67.6,"1,055",22.5,166,3.5,294,6.3,"1,515",32.4,3,0.1,0,0.0,"4,680"
68,Toa Baja,"2,707",67.3,989,24.6,166,4.1,155,3.9,"1,310",32.6,6,0.1,0,0.0,"4,023"
69,Trujillo Alto,"2,172",55.5,902,23.0,175,4.5,662,16.9,"1,739",44.4,3,0.1,0,0.0,"3,914"
70,Utuado,"6,786",66.2,782,7.6,"1,117",10.9,"1,572",15.3,"3,471",33.8,0,0.0,0,0.0,"10,257"
71,Vega Alta,"3,060",62.3,259,5.3,"1,533",31.2,58,1.2,"1,850",37.7,0,0.0,0,0.0,"4,910"
72,Vega Baja,"5,592",70.0,387,4.8,"1,840",23.0,163,2.0,"2,390",29.9,4,0.1,1,0.0,"7,987"
73,Vieques,"1,508",45.6,236,7.1,"1,166",35.2,399,12.1,"1,801",54.4,0,0.0,0,0.0,"3,309"
74,Villalba,"2,761",76.6,596,16.5,209,5.8,37,1.0,842,23.3,2,0.1,1,0.0,"3,606"
75,Yabucoa,"7,258",73.7,280,2.8,"2,202",22.4,107,1.1,"2,589",26.3,0,0.0,0,0.0,"9,847"
76,Yauco,"7,427",68.4,"2,304",21.2,937,8.6,187,1.7,"3,428",31.6,6,0.1,0,0.0,"10,861"
77,"Total,Puerto Rico","383,280",64.7,"101,779",17.2,"68,107",11.5,"38,630",6.5,"208,516",35.2,159,0.0,23,0.0,"591,978"
