,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"4,962",48.0,"5,120",49.6,247,2.4,"10,329"
1,Aguada,"7,638",49.6,"7,130",46.3,620,4.0,"15,388"
2,Aguadilla,"13,001",48.8,"12,665",47.5,983,3.7,"26,649"
3,Aguas Buenas,"5,339",46.3,"5,497",47.7,697,6.0,"11,533"
4,Aibonito,"4,029",36.6,"6,467",58.7,514,4.7,"11,010"
5,Añasco,"5,713",46.5,"6,309",51.3,275,2.2,"12,297"
6,Arecibo,"22,780",49.0,"21,822",46.9,"1,887",4.1,"46,489"
7,Arroyo,"4,186",47.2,"4,086",46.0,603,6.8,"8,875"
8,Barceloneta,"5,277",49.2,"5,174",48.2,281,2.6,"10,732"
9,Barranquitas,"5,635",46.4,"5,928",48.8,577,4.8,"12,140"
10,Bayamón,"50,187",50.0,"43,420",43.2,"6,836",6.8,"100,443"
11,Cabo Rojo,"7,165",40.5,"8,776",49.6,"1,766",10.0,"17,707"
12,Caguas,"27,267",46.3,"28,168",47.8,"3,500",5.9,"58,935"
13,Camuy,"6,583",47.5,"6,920",49.9,351,2.5,"13,854"
14,Canóvanas,"6,110",40.9,"8,078",54.0,762,5.1,"14,950"
15,Carolina,"36,632",50.3,"30,904",42.5,"5,239",7.2,"72,775"
16,Cataño,"6,720",54.8,"4,801",39.1,743,6.1,"12,264"
17,Cayey,"8,656",41.5,"11,258",54.0,931,4.5,"20,845"
18,Ceiba,"2,791",49.8,"2,619",46.8,191,3.4,"5,601"
19,Ciales,"4,641",50.9,"4,214",46.2,267,2.9,"9,122"
20,Cidra,"7,023",47.5,"6,924",46.9,830,5.6,"14,777"
21,Coamo,"7,942",47.2,"8,481",50.4,419,2.5,"16,842"
22,Comerío,"4,411",44.1,"5,154",51.6,430,4.3,"9,995"
23,Corozal,"7,633",48.6,"7,457",47.5,601,3.8,"15,691"
24,Culebra,240,33.7,391,54.9,81,11.4,712
25,Dorado,"4,919",38.8,"7,075",55.8,684,5.4,"12,678"
26,Fajardo,"7,496",48.8,"7,153",46.6,700,4.6,"15,349"
27,Florida,"1,947",49.5,"1,808",46.0,177,4.5,"3,932"
28,Guánica,"4,222",45.2,"4,632",49.6,483,5.2,"9,337"
29,Guayama,"8,417",45.8,"9,083",49.4,874,4.8,"18,374"
30,Guayanilla,"4,419",42.4,"5,245",50.3,759,7.3,"10,423"
31,Guaynabo,"21,216",52.8,"16,518",41.1,"2,428",6.0,"40,162"
32,Gurabo,"5,676",45.4,"6,455",51.7,363,2.9,"12,494"
33,Hatillo,"6,862",44.6,"8,131",52.8,408,2.6,"15,401"
34,Hormigueros,"3,103",40.8,"4,116",54.1,389,5.1,"7,608"
35,Humacao,"9,765",41.0,"13,078",54.9,977,4.1,"23,820"
