,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_R_P,pct_P_R_P,total
0,Adjuntas,"5,386",50.2,"4,919",45.8,205,1.9,222,2.1,"10,732"
1,Aguada,"8,092",46.4,"8,414",48.3,572,3.3,357,2.0,"17,435"
2,Aguadilla,"13,306",47.3,"13,365",47.5,750,2.7,703,2.5,"28,124"
3,Aguas Buenas,"6,191",47.6,"6,006",46.2,630,4.8,166,1.3,"12,993"
4,Aibonito,"7,318",59.9,"4,200",34.4,468,3.8,234,1.9,"12,220"
5,Añasco,"6,731",51.6,"5,966",45.7,219,1.7,130,1.0,"13,046"
6,Arecibo,"24,229",48.5,"23,772",47.6,"1,364",2.7,583,1.2,"49,948"
7,Arroyo,"4,681",46.9,"4,586",46.0,484,4.9,224,2.2,"9,975"
8,Barceloneta,"5,580",48.6,"5,449",47.5,230,2.0,221,1.9,"11,480"
9,Barranquitas,"6,383",48.6,"6,100",46.5,556,4.2,85,0.6,"13,124"
10,Bayamón,"48,401",45.4,"51,197",48.0,"4,739",4.4,"2,354",2.2,"106,691"
11,Cabo Rojo,"9,876",51.7,"7,268",38.0,"1,253",6.6,712,3.7,"19,109"
12,Caguas,"30,728",49.0,"27,901",44.5,"2,844",4.5,"1,224",2.0,"62,697"
13,Camuy,"7,714",50.7,"6,969",45.8,317,2.1,216,1.4,"15,216"
14,Canóvanas,"8,937",54.0,"6,669",40.3,625,3.8,327,2.0,"16,558"
15,Carolina,"36,017",45.2,"37,358",46.9,"3,561",4.5,"2,763",3.5,"79,699"
16,Cataño,"5,666",41.2,"6,940",50.4,551,4.0,600,4.4,"13,757"
17,Cayey,"12,190",55.7,"8,430",38.5,813,3.7,465,2.1,"21,898"
18,Ceiba,"3,146",50.4,"2,791",44.7,140,2.2,168,2.7,"6,245"
19,Ciales,"4,555",46.1,"4,948",50.1,212,2.1,162,1.6,"9,877"
20,Cidra,"8,045",48.3,"7,533",45.3,786,4.7,282,1.7,"16,646"
21,Coamo,"9,142",50.9,"8,154",45.4,382,2.1,272,1.5,"17,950"
22,Comerío,"5,764",52.9,"4,645",42.6,379,3.5,105,1.0,"10,893"
23,Corozal,"8,345",47.4,"8,623",49.0,468,2.7,171,1.0,"17,607"
24,Culebra,512,62.1,263,31.9,44,5.3,5,0.6,824
25,Dorado,"8,058",56.3,"5,349",37.4,634,4.4,261,1.8,"14,302"
26,Fajardo,"8,036",48.6,"7,374",44.6,485,2.9,627,3.8,"16,522"
27,Florida,"2,136",47.3,"2,043",45.2,253,5.6,88,1.9,"4,520"
28,Guánica,"4,798",49.7,"4,107",42.5,410,4.2,346,3.6,"9,661"
29,Guayama,"10,033",52.2,"8,160",42.5,662,3.4,351,1.8,"19,206"
30,Guayanilla,"5,436",50.0,"4,593",42.2,637,5.9,210,1.9,"10,876"
31,Guaynabo,"18,278",42.9,"21,390",50.2,"1,720",4.0,"1,180",2.8,"42,568"
32,Gurabo,"6,776",50.2,"6,177",45.7,329,2.4,226,1.7,"13,508"
33,Hatillo,"8,869",53.1,"7,320",43.8,364,2.2,144,0.9,"16,697"
34,Hormigueros,"4,551",56.2,"3,090",38.2,308,3.8,146,1.8,"8,095"
35,Humacao,"14,538",56.4,"9,985",38.8,766,3.0,474,1.8,"25,763"
36,Isabela,"10,424",51.9,"8,742",43.5,645,3.2,283,1.4,"20,094"
37,Jayuya,"3,996",47.4,"3,993",47.3,297,3.5,149,1.8,"8,435"
38,Juana Díaz,"10,549",49.2,"9,938",46.4,464,2.2,474,2.2,"21,425"
39,Juncos,"7,582",48.6,"7,397",47.4,408,2.6,214,1.4,"15,601"
40,Lajas,"6,885",58.5,"4,426",37.6,236,2.0,213,1.8,"11,760"
41,Lares,"7,605",50.8,"6,684",44.7,548,3.7,125,0.8,"14,962"
42,Las Marías,"2,808",57.3,"1,897",38.7,123,2.5,71,1.4,"4,899"
43,Las Piedras,"6,843",49.3,"6,554",47.2,224,1.6,250,1.8,"13,871"
44,Loíza,"4,101",37.4,"6,386",58.2,290,2.6,202,1.8,"10,979"
45,Luquillo,"4,424",50.2,"3,998",45.3,237,2.7,162,1.8,"8,821"
46,Manatí,"10,049",45.8,"11,004",50.1,622,2.8,271,1.2,"21,946"
47,Maricao,"1,886",53.8,"1,515",43.2,41,1.2,61,1.7,"3,503"
