,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"5,414",48.7,"5,466",49.2,232,2.1,"11,112"
1,Aguada,"8,079",44.5,"9,401",51.8,671,3.7,"18,151"
2,Aguadilla,"13,639",46.7,"14,642",50.1,942,3.2,"29,223"
3,Aguas Buenas,"6,663",47.5,"6,602",47.1,750,5.4,"14,015"
4,Aibonito,"7,781",59.1,"4,691",35.6,700,5.3,"13,172"
5,Añasco,"7,368",50.9,"6,813",47.1,299,2.1,"14,480"
6,Arecibo,"25,120",48.4,"25,126",48.4,"1,694",3.3,"51,940"
7,Arroyo,"4,841",49.2,"4,499",45.7,496,5.0,"9,836"
8,Barceloneta,"5,827",48.8,"5,774",48.4,336,2.8,"11,937"
9,Barranquitas,"6,815",48.9,"6,512",46.7,618,4.4,"13,945"
10,Bayamón,"49,685",44.6,"56,047",50.3,"5,611",5.0,"111,343"
11,Cabo Rojo,"10,700",52.7,"7,601",37.5,"1,988",9.8,"20,289"
12,Caguas,"32,203",49.1,"29,463",45.0,"3,868",5.9,"65,534"
13,Camuy,"8,238",50.0,"7,836",47.6,399,2.4,"16,473"
14,Canóvanas,"9,798",55.2,"7,176",40.5,764,4.3,"17,738"
15,Carolina,"40,090",47.0,"40,787",47.8,"4,394",5.2,"85,271"
16,Cataño,"6,598",44.1,"7,660",51.1,719,4.8,"14,977"
17,Cayey,"13,055",56.1,"9,034",38.8,"1,198",5.1,"23,287"
18,Ceiba,"3,337",50.5,"3,062",46.4,204,3.1,"6,603"
19,Ciales,"4,919",48.0,"5,108",49.8,227,2.2,"10,254"
20,Cidra,"8,519",47.3,"8,493",47.2,984,5.5,"17,996"
21,Coamo,"9,635",52.6,"8,244",45.0,455,2.5,"18,334"
22,Comerío,"5,714",50.7,"5,136",45.6,421,3.7,"11,271"
23,Corozal,"8,875",47.3,"9,383",50.0,517,2.8,"18,775"
24,Culebra,527,63.3,262,31.5,44,5.3,833
25,Dorado,"8,294",53.7,"6,319",40.9,826,5.4,"15,439"
26,Fajardo,"8,405",47.2,"8,605",48.3,806,4.5,"17,816"
27,Florida,"2,358",49.0,"2,246",46.6,212,4.4,"4,816"
28,Guánica,"5,244",53.0,"4,170",42.2,473,4.8,"9,887"
29,Guayama,"10,539",53.7,"8,248",42.0,848,4.3,"19,635"
30,Guayanilla,"5,709",51.7,"4,660",42.2,683,6.2,"11,052"
31,Guaynabo,"19,322",43.0,"23,416",52.1,"2,172",4.8,"44,910"
32,Gurabo,"7,494",50.8,"6,767",45.9,495,3.4,"14,756"
33,Hatillo,"9,242",51.5,"8,276",46.1,428,2.4,"17,946"
34,Hormigueros,"4,683",56.3,"3,221",38.7,416,5.0,"8,320"
35,Humacao,"15,257",56.2,"10,758",39.6,"1,149",4.2,"27,164"
36,Isabela,"11,059",52.0,"9,438",44.4,765,3.6,"21,262"
37,Jayuya,"4,223",47.9,"4,290",48.7,296,3.4,"8,809"
38,Juana Díaz,"11,144",50.5,"10,396",47.1,535,2.4,"22,075"
39,Juncos,"7,654",48.0,"7,787",48.8,507,3.2,"15,948"
40,Lajas,"7,064",58.0,"4,609",37.9,498,4.1,"12,171"
41,Lares,"7,495",48.2,"7,446",47.8,624,4.0,"15,565"
42,Las Marías,"2,750",54.8,"2,117",42.2,152,3.0,"5,019"
43,Las Piedras,"7,461",48.3,"7,671",49.6,329,2.1,"15,461"
44,Loíza,"5,218",41.3,"6,971",55.2,446,3.5,"12,635"
45,Luquillo,"4,553",47.8,"4,592",48.2,389,4.1,"9,534"
46,Manatí,"10,463",45.9,"11,583",50.8,763,3.3,"22,809"
47,Maricao,"1,929",53.1,"1,642",45.2,61,1.7,"3,632"
48,Maunabo,"3,144",44.9,"3,470",49.5,392,5.6,"7,006"
49,Mayagüez,"25,782",52.6,"20,692",42.2,"2,576",5.3,"49,050"
50,Moca,"7,731",45.1,"9,034",52.7,384,2.2,"17,149"
51,Morovis,"7,205",52.8,"6,108",44.8,331,2.4,"13,644"
52,Naguabo,"5,940",48.7,"5,975",49.0,274,2.2,"12,189"
53,Naranjito,"8,823",57.5,"5,963",38.8,570,3.7,"15,356"
54,Orocovis,"5,863",47.3,"6,261",50.5,281,2.3,"12,405"
55,Patillas,"5,116",47.5,"5,162",47.9,496,4.6,"10,774"
56,Peñuelas,"5,491",49.5,"4,860",43.8,746,6.7,"11,097"
57,Ponce,"42,686",49.5,"39,468",45.8,"4,096",4.7,"86,250"
58,Quebradillas,"5,905",50.9,"5,266",45.4,429,3.7,"11,600"
59,Rincón,"4,062",56.0,"3,041",41.9,148,2.0,"7,251"
60,Río Grande,"9,943",48.7,"9,621",47.2,838,4.1,"20,402"
61,Sabana Grande,"7,861",64.3,"4,023",32.9,339,2.8,"12,223"
62,Salinas,"8,080",58.2,"5,376",38.7,438,3.2,"13,894"
63,San Germán,"9,867",54.6,"7,360",40.7,843,4.7,"18,070"
64,San Juan,"93,831",45.0,"102,272",49.1,"12,398",5.9,"208,501"
65,San Lorenzo,"9,485",46.7,"10,242",50.4,577,2.8,"20,304"
66,San Sebastián,"11,213",54.3,"8,256",39.9,"1,199",5.8,"20,668"
67,Santa Isabel,"5,586",55.9,"4,071",40.7,339,3.4,"9,996"
68,Toa Alta,"8,818",46.9,"9,159",48.7,844,4.5,"18,821"
69,Toa Baja,"19,527",47.9,"18,973",46.6,"2,239",5.5,"40,739"
70,Trujillo Alto,"13,430",48.3,"12,603",45.3,"1,787",6.4,"27,820"
71,Utuado,"9,685",48.6,"9,715",48.8,520,2.6,"19,920"
72,Vega Alta,"8,478",49.9,"7,781",45.8,732,4.3,"16,991"
73,Vega Baja,"13,828",49.7,"12,853",46.2,"1,160",4.2,"27,841"
74,Vieques,"2,352",45.2,"2,533",48.7,315,6.1,"5,200"
75,Villalba,"5,936",47.4,"6,356",50.8,230,1.8,"12,522"
76,Yabucoa,"9,566",49.5,"9,108",47.1,654,3.4,"19,328"
77,Yauco,"11,213",52.7,"9,088",42.7,961,4.5,"21,262"
78,Registro Federal,85,34.7,143,58.4,17,6.9,245
79,"Total,Puerto Rico","867,532",49.0,"824,879",46.6,"79,557",4.5,"1,771,968"
