,municipios,votos_P_N_P,pct_P_N_P,votos_Tito_Colorado,pct_Tito_Colorado,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,total
0,Adjuntas,"5,654",51.0,"5,238",47.2,199,1.8,2,0.0,"11,093"
1,Aguada,"10,348",52.0,"8,925",44.8,576,2.9,68,0.3,"19,917"
2,Aguadilla,"15,575",51.7,"13,728",45.6,726,2.4,68,0.2,"30,097"
3,Aguas Buenas,"7,681",50.9,"6,737",44.6,680,4.5,3,0.0,"15,101"
4,Aibonito,"5,299",37.5,"8,175",57.8,665,4.7,4,0.0,"14,143"
5,Añasco,"7,672",50.3,"7,290",47.8,251,1.6,30,0.2,"15,243"
6,Arecibo,"27,533",51.4,"24,386",45.6,"1,464",2.7,151,0.3,"53,534"
7,Arroyo,"5,201",49.4,"4,891",46.5,436,4.1,1,0.0,"10,529"
8,Barceloneta,"6,312",50.4,"5,922",47.3,287,2.3,7,0.1,"12,528"
9,Barranquitas,"7,661",50.0,"7,217",47.1,432,2.8,3,0.0,"15,313"
10,Bayamón,"58,724",51.1,"51,557",44.9,"4,510",3.9,81,0.1,"114,872"
11,Cabo Rojo,"9,021",41.8,"11,196",51.8,"1,318",6.1,72,0.3,"21,607"
12,Caguas,"32,298",46.6,"33,950",49.0,"3,054",4.4,41,0.1,"69,343"
13,Camuy,"8,995",49.8,"8,735",48.3,333,1.8,10,0.1,"18,073"
14,Canóvanas,"9,095",47.3,"9,516",49.5,619,3.2,9,0.0,"19,239"
15,Carolina,"43,235",48.7,"42,221",47.5,"3,344",3.8,58,0.1,"88,858"
16,Cataño,"7,964",52.5,"6,669",43.9,535,3.5,7,0.0,"15,175"
17,Cayey,"9,972",41.8,"12,763",53.5,"1,104",4.6,16,0.1,"23,855"
18,Ceiba,"3,548",51.5,"3,195",46.3,150,2.2,2,0.0,"6,895"
19,Ciales,"5,558",52.2,"4,880",45.9,199,1.9,6,0.1,"10,643"
20,Cidra,"9,667",50.2,"8,659",45.0,919,4.8,6,0.0,"19,251"
21,Coamo,"9,023",47.4,"9,604",50.5,384,2.0,8,0.0,"19,019"
22,Comerío,"5,770",48.9,"5,666",48.0,357,3.0,4,0.0,"11,797"
23,Corozal,"10,175",51.7,"9,074",46.1,438,2.2,4,0.0,"19,691"
24,Culebra,400,40.4,542,54.7,47,4.7,1,0.1,990
25,Dorado,"7,303",42.9,"9,053",53.2,638,3.8,10,0.1,"17,004"
26,Fajardo,"9,569",51.7,"8,311",44.9,629,3.4,6,0.0,"18,515"
27,Florida,"2,630",49.6,"2,445",46.1,225,4.2,0,0.0,"5,300"
28,Guánica,"5,017",48.2,"5,008",48.1,379,3.6,6,0.1,"10,410"
29,Guayama,"9,091",45.2,"10,318",51.3,674,3.4,14,0.1,"20,097"
30,Guayanilla,"5,242",44.5,"5,942",50.5,580,4.9,6,0.1,"11,770"
31,Guaynabo,"25,079",52.6,"20,891",43.8,"1,716",3.6,34,0.1,"47,720"
32,Gurabo,"8,037",49.7,"7,692",47.5,446,2.8,4,0.0,"16,179"
33,Hatillo,"9,490",48.7,"9,600",49.3,393,2.0,1,0.0,"19,484"
34,Hormigueros,"3,731",41.2,"4,924",54.4,352,3.9,42,0.5,"9,049"
35,Humacao,"12,170",43.6,"14,799",53.1,899,3.2,15,0.1,"27,883"
36,Isabela,"10,725",47.1,"11,413",50.1,634,2.8,17,0.1,"22,789"
37,Jayuya,"4,662",51.0,"4,223",46.2,253,2.8,3,0.0,"9,141"
38,Juana Díaz,"11,712",49.8,"11,301",48.0,501,2.1,14,0.1,"23,528"
39,Juncos,"8,875",52.2,"7,677",45.2,443,2.6,7,0.0,"17,002"
40,Lajas,"5,630",43.7,"6,846",53.1,390,3.0,24,0.2,"12,890"
41,Lares,"8,114",49.4,"7,734",47.1,572,3.5,8,0.0,"16,428"
42,Las Marías,"2,475",45.3,"2,829",51.8,142,2.6,17,0.3,"5,463"
43,Las Piedras,"8,744",53.0,"7,458",45.2,306,1.9,2,0.0,"16,510"
44,Loíza,"7,981",61.4,"4,661",35.9,348,2.7,3,0.0,"12,993"
45,Luquillo,"4,910",49.3,"4,768",47.9,284,2.9,0,0.0,"9,962"
46,Manatí,"12,556",53.3,"10,359",44.0,641,2.7,3,0.0,"23,559"
47,Maricao,"1,966",53.6,"1,629",44.4,67,1.8,8,0.2,"3,670"
48,Maunabo,"3,646",50.3,"3,267",45.1,329,4.5,0,0.0,"7,242"
49,Mayagüez,"22,334",42.9,"27,493",52.8,"2,097",4.0,125,0.2,"52,049"
50,Moca,"9,862",54.4,"7,878",43.4,350,1.9,45,0.2,"18,135"
51,Morovis,"7,074",47.9,"7,417",50.2,271,1.8,6,0.0,"14,768"
52,Naguabo,"6,416",50.6,"6,003",47.3,261,2.1,2,0.0,"12,682"
53,Naranjito,"6,773",40.6,"9,428",56.5,477,2.9,19,0.1,"16,697"
54,Orocovis,"6,994",53.7,"5,792",44.4,248,1.9,2,0.0,"13,036"
55,Patillas,"5,670",49.3,"5,426",47.2,406,3.5,2,0.0,"11,504"
56,Peñuelas,"6,134",48.5,"5,923",46.8,589,4.7,3,0.0,"12,649"
57,Ponce,"40,289",45.7,"44,651",50.6,"3,189",3.6,31,0.0,"88,160"
58,Quebradillas,"6,036",46.9,"6,433",49.9,407,3.2,5,0.0,"12,881"
59,Rincón,"3,525",46.3,"3,907",51.4,150,2.0,25,0.3,"7,607"
60,Río Grande,"11,934",52.8,"9,965",44.1,684,3.0,16,0.1,"22,599"
61,Sabana Grande,"5,057",38.2,"7,889",59.6,279,2.1,9,0.1,"13,234"
62,Salinas,"6,478",44.6,"7,681",52.9,356,2.5,5,0.0,"14,520"
63,San Germán,"8,884",45.0,"10,190",51.7,602,3.1,46,0.2,"19,722"
64,San Juan,"101,808",48.9,"97,551",46.9,"8,692",4.2,135,0.1,"208,186"
65,San Lorenzo,"10,947",53.0,"9,168",44.4,527,2.6,5,0.0,"20,647"
66,San Sebastián,"10,393",45.3,"11,557",50.3,992,4.3,23,0.1,"22,965"
67,Santa Isabel,"4,931",46.2,"5,467",51.2,272,2.5,4,0.0,"10,674"
68,Toa Alta,"11,140",51.1,"9,848",45.2,799,3.7,21,0.1,"21,808"
69,Toa Baja,"20,867",49.0,"19,873",46.7,"1,759",4.1,52,0.1,"42,551"
70,Trujillo Alto,"14,601",47.1,"14,858",48.0,"1,504",4.9,22,0.1,"30,985"
71,Utuado,"10,846",53.2,"9,088",44.6,448,2.2,1,0.0,"20,383"
72,Vega Alta,"8,826",48.1,"8,976",48.9,537,2.9,9,0.0,"18,348"
73,Vega Baja,"13,972",46.8,"14,970",50.2,873,2.9,10,0.0,"29,825"
74,Vieques,"2,831",52.7,"2,281",42.5,261,4.9,0,0.0,"5,373"
75,Villalba,"6,969",52.9,"6,001",45.5,210,1.6,2,0.0,"13,182"
76,Yabucoa,"10,407",49.1,"10,221",48.3,544,2.6,2,0.0,"21,174"
77,Yauco,"10,333",45.9,"11,357",50.4,820,3.6,15,0.1,"22,525"
78,"Total,Puerto Rico","904,067",48.6,"891,176",47.9,"63,472",3.4,"1,548",0.1,"1,860,263"
