,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
0,Adjuntas,"5,853",50.4,"5,502",47.4,192,1.7,1,0.0,43,0.4,26,0.2,"11,617"
1,Aguada,"11,398",52.0,"9,724",44.4,674,3.1,2,0.0,71,0.3,37,0.2,"21,906"
2,Aguadilla,"17,007",53.0,"14,080",43.9,849,2.6,3,0.0,81,0.3,75,0.2,"32,095"
3,Aguas Buenas,"8,396",52.5,"6,787",42.4,754,4.7,1,0.0,43,0.3,24,0.1,"16,005"
4,Aibonito,"6,073",39.8,"8,347",54.6,750,4.9,7,0.0,56,0.4,42,0.3,"15,275"
5,Añasco,"8,145",51.0,"7,470",46.7,302,1.9,2,0.0,39,0.2,27,0.2,"15,985"
6,Arecibo,"29,286",52.2,"25,016",44.6,"1,570",2.8,9,0.0,138,0.2,123,0.2,"56,142"
7,Arroyo,"5,556",51.2,"4,862",44.8,392,3.6,0,0.0,32,0.3,16,0.1,"10,858"
8,Barceloneta,"6,585",48.5,"6,627",48.8,316,2.3,3,0.0,21,0.2,22,0.2,"13,574"
9,Barranquitas,"8,028",50.3,"7,387",46.3,486,3.0,2,0.0,21,0.1,28,0.2,"15,952"
10,Bayamón,"60,179",52.5,"49,411",43.1,"4,654",4.1,14,0.0,222,0.2,172,0.2,"114,652"
11,Cabo Rojo,"10,550",45.2,"11,211",48.0,"1,439",6.2,4,0.0,86,0.4,64,0.3,"23,354"
12,Caguas,"34,456",47.1,"34,975",47.8,"3,390",4.6,14,0.0,145,0.2,168,0.2,"73,148"
13,Camuy,"10,214",51.4,"9,166",46.1,400,2.0,4,0.0,48,0.2,36,0.2,"19,868"
14,Canóvanas,"10,599",50.1,"9,727",46.0,697,3.3,5,0.0,46,0.2,64,0.3,"21,138"
15,Carolina,"45,499",50.1,"41,299",45.5,"3,530",3.9,25,0.0,178,0.2,219,0.2,"90,750"
16,Cataño,"8,498",53.0,"6,897",43.0,545,3.4,2,0.0,42,0.3,53,0.3,"16,037"
17,Cayey,"12,041",46.7,"12,478",48.4,"1,093",4.2,4,0.0,82,0.3,92,0.4,"25,790"
18,Ceiba,"3,768",52.8,"3,160",44.3,165,2.3,1,0.0,18,0.3,20,0.3,"7,132"
19,Ciales,"6,156",53.4,"5,081",44.1,247,2.1,0,0.0,25,0.2,9,0.1,"11,518"
20,Cidra,"10,960",52.9,"8,603",41.5,"1,021",4.9,4,0.0,72,0.3,55,0.3,"20,715"
21,Coamo,"9,943",49.7,"9,599",48.0,370,1.8,1,0.0,58,0.3,33,0.2,"20,004"
22,Comerío,"6,101",49.7,"5,734",46.7,371,3.0,3,0.0,35,0.3,29,0.2,"12,273"
23,Corozal,"10,873",52.6,"9,283",44.9,448,2.2,4,0.0,33,0.2,41,0.2,"20,682"
24,Culebra,459,43.1,562,52.7,42,3.9,1,0.1,0,0.0,2,0.2,"1,066"
25,Dorado,"7,742",42.6,"9,558",52.6,778,4.3,5,0.0,39,0.2,39,0.2,"18,161"
26,Fajardo,"10,189",54.1,"7,918",42.0,626,3.3,4,0.0,51,0.3,45,0.2,"18,833"
27,Florida,"2,971",51.4,"2,548",44.1,230,4.0,0,0.0,15,0.3,11,0.2,"5,775"
28,Guánica,"5,502",48.6,"5,440",48.0,343,3.0,1,0.0,25,0.2,19,0.2,"11,330"
29,Guayama,"10,311",48.7,"9,967",47.1,742,3.5,4,0.0,69,0.3,66,0.3,"21,159"
30,Guayanilla,"5,734",45.5,"6,256",49.7,541,4.3,1,0.0,32,0.3,35,0.3,"12,599"
31,Guaynabo,"26,867",54.3,"20,396",41.2,"2,034",4.1,21,0.0,93,0.2,84,0.2,"49,495"
32,Gurabo,"8,966",50.7,"8,064",45.6,552,3.1,1,0.0,44,0.2,49,0.3,"17,676"
33,Hatillo,"10,424",49.6,"9,975",47.5,512,2.4,1,0.0,53,0.3,43,0.2,"21,008"
34,Hormigueros,"4,284",43.4,"5,084",51.5,438,4.4,3,0.0,42,0.4,26,0.3,"9,877"
35,Humacao,"13,341",44.7,"15,440",51.7,942,3.2,9,0.0,57,0.2,64,0.2,"29,853"
36,Isabela,"12,320",48.9,"12,049",47.8,677,2.7,7,0.0,82,0.3,49,0.2,"25,184"
37,Jayuya,"4,919",49.6,"4,678",47.1,273,2.8,3,0.0,21,0.2,31,0.3,"9,925"
38,Juana Díaz,"12,691",50.5,"11,789",46.9,522,2.1,2,0.0,78,0.3,49,0.2,"25,131"
39,Juncos,"9,386",52.2,"8,064",44.9,422,2.3,2,0.0,47,0.3,48,0.3,"17,969"
40,Lajas,"6,379",45.5,"7,012",50.0,427,3.0,7,0.0,127,0.9,65,0.5,"14,017"
41,Lares,"9,011",49.5,"8,532",46.9,575,3.2,2,0.0,32,0.2,49,0.3,"18,201"
42,Las Marías,"2,867",47.4,"3,035",50.2,117,1.9,0,0.0,15,0.2,14,0.2,"6,048"
43,Las Piedras,"9,700",54.4,"7,662",43.0,386,2.2,2,0.0,38,0.2,32,0.2,"17,820"
44,Loíza,"8,454",63.1,"4,517",33.7,325,2.4,1,0.0,48,0.4,45,0.3,"13,390"
45,Luquillo,"5,352",51.3,"4,719",45.3,300,2.9,2,0.0,27,0.3,23,0.2,"10,423"
46,Manatí,"13,069",54.0,"10,209",42.2,787,3.3,1,0.0,73,0.3,67,0.3,"24,206"
47,Maricao,"2,236",56.1,"1,690",42.4,43,1.1,0,0.0,15,0.4,4,0.1,"3,988"
48,Maunabo,"3,853",51.7,"3,222",43.3,318,4.3,1,0.0,26,0.3,28,0.4,"7,448"
49,Mayagüez,"23,501",44.3,"26,981",50.9,"2,225",4.2,16,0.0,138,0.3,163,0.3,"53,024"
50,Moca,"11,430",55.2,"8,742",42.2,422,2.0,3,0.0,56,0.3,39,0.2,"20,692"
51,Morovis,"7,824",48.8,"7,877",49.1,272,1.7,2,0.0,34,0.2,29,0.2,"16,038"
52,Naguabo,"6,772",51.7,"6,007",45.8,279,2.1,0,0.0,25,0.2,27,0.2,"13,110"
53,Naranjito,"7,209",41.5,"9,608",55.3,504,2.9,4,0.0,32,0.2,24,0.1,"17,381"
54,Orocovis,"7,219",51.2,"6,590",46.7,234,1.7,3,0.0,45,0.3,21,0.1,"14,112"
55,Patillas,"6,091",50.8,"5,436",45.3,391,3.3,2,0.0,42,0.4,28,0.2,"11,990"
56,Peñuelas,"6,639",48.4,"6,389",46.5,622,4.5,2,0.0,44,0.3,35,0.3,"13,731"
57,Ponce,"42,720",46.5,"45,012",49.0,"3,523",3.8,23,0.0,251,0.3,251,0.3,"91,780"
58,Quebradillas,"7,197",50.8,"6,427",45.4,454,3.2,3,0.0,42,0.3,36,0.3,"14,159"
59,Rincón,"3,999",47.1,"4,250",50.1,177,2.1,0,0.0,37,0.4,20,0.2,"8,483"
60,Río Grande,"13,095",54.5,"10,091",42.0,730,3.0,6,0.0,71,0.3,52,0.2,"24,045"
61,Sabana Grande,"5,676",39.7,"8,156",57.0,379,2.7,3,0.0,37,0.3,50,0.3,"14,301"
62,Salinas,"7,049",46.0,"7,787",50.8,401,2.6,2,0.0,50,0.3,38,0.2,"15,327"
63,San Germán,"9,987",47.8,"10,072",48.2,681,3.3,8,0.0,81,0.4,55,0.3,"20,884"
64,San Juan,"104,154",49.7,"94,787",45.3,"9,483",4.5,98,0.0,371,0.2,510,0.2,"209,403"
65,San Lorenzo,"11,597",53.6,"9,403",43.5,528,2.4,3,0.0,59,0.3,34,0.2,"21,624"
66,San Sebastián,"12,218",48.1,"11,894",46.8,"1,104",4.3,3,0.0,96,0.4,85,0.3,"25,400"
67,Santa Isabel,"5,268",46.8,"5,703",50.7,239,2.1,0,0.0,21,0.2,19,0.2,"11,250"
