,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
0,Adjuntas,"5,756",48.7,"5,713",48.4,282,2.4,4,0.0,39,0.3,20,0.2,"11,814"
1,Aguada,"11,369",48.9,"10,835",46.6,912,3.9,20,0.1,80,0.3,42,0.2,"23,258"
2,Aguadilla,"14,997",46.8,"15,728",49.1,"1,138",3.6,8,0.0,69,0.2,82,0.3,"32,022"
3,Aguas Buenas,"7,401",45.6,"7,780",47.9,982,6.0,0,0.0,38,0.2,46,0.3,"16,247"
4,Aibonito,"8,884",55.8,"5,996",37.7,979,6.2,2,0.0,40,0.3,15,0.1,"15,916"
5,Añasco,"8,074",49.5,"7,684",47.1,462,2.8,6,0.0,46,0.3,45,0.3,"16,317"
6,Arecibo,"26,422",47.9,"26,279",47.6,"2,210",4.0,14,0.0,112,0.2,114,0.2,"55,151"
7,Arroyo,"4,982",46.3,"5,188",48.2,523,4.9,1,0.0,21,0.2,38,0.4,"10,753"
8,Barceloneta,"6,672",51.9,"5,681",44.2,436,3.4,4,0.0,27,0.2,38,0.3,"12,858"
9,Barranquitas,"7,962",47.3,"8,193",48.7,627,3.7,5,0.0,21,0.1,26,0.2,"16,834"
10,Bayamón,"52,845",46.5,"54,549",47.9,"5,977",5.3,41,0.0,147,0.1,204,0.2,"113,763"
11,Cabo Rojo,"12,455",50.9,"9,835",40.2,"1,990",8.1,7,0.0,65,0.3,98,0.4,"24,450"
12,Caguas,"38,218",51.0,"31,815",42.5,"4,585",6.1,24,0.0,106,0.1,176,0.2,"74,924"
13,Camuy,"9,874",47.9,"10,077",48.9,580,2.8,3,0.0,56,0.3,36,0.2,"20,626"
14,Canóvanas,"10,671",50.0,"9,595",44.9,985,4.6,11,0.1,37,0.2,57,0.3,"21,356"
15,Carolina,"45,331",49.6,"40,807",44.7,"4,907",5.4,25,0.0,130,0.1,186,0.2,"91,386"
16,Cataño,"7,678",45.6,"8,223",48.8,844,5.0,3,0.0,37,0.2,51,0.3,"16,836"
17,Cayey,"13,983",52.9,"10,711",40.6,"1,551",5.9,5,0.0,72,0.3,86,0.3,"26,408"
18,Ceiba,"3,341",47.5,"3,361",47.8,297,4.2,5,0.1,11,0.2,17,0.2,"7,032"
19,Ciales,"5,702",47.1,"6,044",50.0,300,2.5,1,0.0,30,0.2,21,0.2,"12,098"
20,Cidra,"9,851",44.1,"10,911",48.8,"1,478",6.6,1,0.0,53,0.2,48,0.2,"22,342"
21,Coamo,"10,854",51.3,"9,578",45.3,662,3.1,6,0.0,33,0.2,32,0.2,"21,165"
22,Comerío,"5,990",48.2,"5,854",47.1,537,4.3,0,0.0,14,0.1,27,0.2,"12,422"
23,Corozal,"10,254",47.4,"10,589",49.0,685,3.2,9,0.0,33,0.2,48,0.2,"21,618"
24,Culebra,641,55.6,442,38.4,64,5.6,0,0.0,4,0.3,1,0.1,"1,152"
25,Dorado,"10,484",56.0,"7,117",38.0,"1,041",5.6,2,0.0,41,0.2,43,0.2,"18,728"
26,Fajardo,"8,385",45.4,"9,045",49.0,929,5.0,6,0.0,59,0.3,40,0.2,"18,464"
27,Florida,"3,136",45.0,"3,451",49.5,338,4.9,1,0.0,22,0.3,17,0.2,"6,965"
28,Guánica,"6,219",53.0,"4,934",42.1,535,4.6,2,0.0,17,0.1,23,0.2,"11,730"
29,Guayama,"10,663",49.6,"9,637",44.9,"1,096",5.1,4,0.0,41,0.2,45,0.2,"21,486"
30,Guayanilla,"6,627",52.0,"5,288",41.5,762,6.0,6,0.0,28,0.2,31,0.2,"12,742"
31,Guaynabo,"22,580",44.7,"25,012",49.5,"2,778",5.5,21,0.0,77,0.2,72,0.1,"50,540"
32,Gurabo,"9,296",49.9,"8,401",45.1,846,4.5,5,0.0,18,0.1,48,0.3,"18,614"
33,Hatillo,"10,884",50.7,"9,824",45.8,661,3.1,5,0.0,45,0.2,37,0.2,"21,456"
34,Hormigueros,"5,573",54.6,"3,988",39.1,581,5.7,3,0.0,36,0.4,28,0.3,"10,209"
35,Humacao,"16,303",53.9,"12,439",41.1,"1,408",4.7,7,0.0,50,0.2,53,0.2,"30,260"
36,Isabela,"13,280",51.3,"11,569",44.7,886,3.4,7,0.0,69,0.3,52,0.2,"25,863"
37,Jayuya,"5,062",48.6,"4,963",47.6,343,3.3,1,0.0,27,0.3,21,0.2,"10,417"
38,Juana Díaz,"12,749",49.8,"11,890",46.4,864,3.4,3,0.0,69,0.3,42,0.2,"25,617"
39,Juncos,"8,760",46.4,"9,266",49.0,745,3.9,6,0.0,74,0.4,44,0.2,"18,895"
40,Lajas,"7,509",52.6,"6,015",42.1,637,4.5,3,0.0,58,0.4,49,0.3,"14,271"
41,Lares,"9,108",49.1,"8,582",46.3,757,4.1,1,0.0,44,0.2,48,0.3,"18,540"
42,Las Marías,"3,151",48.2,"3,175",48.5,159,2.4,2,0.0,34,0.5,19,0.3,"6,540"
43,Las Piedras,"8,447",45.2,"9,524",50.9,651,3.5,4,0.0,32,0.2,44,0.2,"18,702"
44,Loíza,"5,285",38.8,"7,724",56.7,535,3.9,1,0.0,44,0.3,42,0.3,"13,631"
45,Luquillo,"4,977",48.3,"4,806",46.6,479,4.6,4,0.0,21,0.2,22,0.2,"10,309"
46,Manatí,"10,804",44.2,"12,371",50.6,"1,119",4.6,9,0.0,63,0.3,64,0.3,"24,430"
47,Maricao,"1,751",42.9,"2,242",55.0,66,1.6,0,0.0,10,0.2,11,0.3,"4,080"
48,Maunabo,"3,660",46.9,"3,709",47.5,404,5.2,0,0.0,16,0.2,21,0.3,"7,810"
49,Mayagüez,"27,882",54.3,"20,343",39.6,"2,852",5.6,25,0.0,132,0.3,152,0.3,"51,386"
50,Moca,"10,319",45.7,"11,560",51.2,604,2.7,5,0.0,47,0.2,53,0.2,"22,588"
51,Morovis,"8,728",51.4,"7,816",46.0,365,2.1,6,0.0,41,0.2,26,0.2,"16,982"
52,Naguabo,"6,671",49.1,"6,403",47.1,456,3.4,2,0.0,28,0.2,28,0.2,"13,588"
53,Naranjito,"10,208",55.8,"7,404",40.5,625,3.4,0,0.0,21,0.1,32,0.2,"18,290"
54,Orocovis,"7,281",48.0,"7,490",49.4,321,2.1,0,0.0,33,0.2,36,0.2,"15,161"
55,Patillas,"5,661",46.5,"5,955",48.9,516,4.2,1,0.0,34,0.3,17,0.1,"12,184"
56,Peñuelas,"6,897",49.3,"6,192",44.3,804,5.8,7,0.1,43,0.3,34,0.2,"13,977"
57,Ponce,"45,663",51.1,"38,244",42.8,"4,958",5.6,39,0.0,181,0.2,235,0.3,"89,320"
58,Quebradillas,"7,346",48.4,"7,144",47.1,598,3.9,2,0.0,48,0.3,40,0.3,"15,178"
59,Rincón,"4,999",54.9,"3,784",41.6,277,3.0,4,0.0,18,0.2,18,0.2,"9,100"
60,Río Grande,"11,268",46.1,"12,016",49.1,"1,080",4.4,4,0.0,45,0.2,52,0.2,"24,465"
