,municipios,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Partido_Estadista_Puertorriqueño,pct_Partido_Estadista_Puertorriqueño,votos_Partido_Socialista,pct_Partido_Socialista,votos_Partido_Reformista_Puertorriqueño,pct_Partido_Reformista_Puertorriqueño,votos_Total_Combinado,pct_Total_Combinado,votos_Partido_Independentista_Puertorriqueño,pct_Partido_Independentista_Puertorriqueño,total
0,Adjuntas,"4,116",61.5,"1,556",23.3,599,9.0,119,1.8,"2,274",34.0,302,4.5,"6,692"
1,Aguada,"4,004",77.6,255,4.9,227,4.4,50,1.0,532,10.3,625,12.1,"5,161"
2,Aguadilla,"5,960",52.9,"3,802",33.7,433,3.8,119,1.1,"4,354",38.6,955,8.5,"11,269"
3,Aguas Buenas,"2,362",49.0,"1,575",32.7,241,5.0,338,7.0,"2,154",44.7,307,6.4,"4,823"
4,Aibonito,"4,059",72.1,"1,019",18.1,129,2.3,195,3.5,"1,343",23.9,224,4.0,"5,626"
5,Añasco,"3,347",59.7,229,4.1,"1,693",30.2,122,2.2,"2,044",36.4,220,3.9,"5,611"
6,Arecibo,"15,213",59.1,455,1.8,"7,948",30.9,498,1.9,"8,901",34.6,"1,621",6.3,"25,735"
7,Arroyo,"2,588",54.7,92,1.9,"1,462",30.9,163,3.4,"1,717",36.3,425,9.0,"4,730"
8,Barceloneta,"4,743",69.9,310,4.6,"1,254",18.5,61,0.9,"1,625",24.0,415,6.1,"6,783"
9,Barranquitas,"4,117",80.7,28,0.5,19,0.4,25,0.5,72,1.4,915,17.9,"5,104"
10,Bayamón,"8,887",61.6,"3,331",23.1,584,4.1,357,2.5,"4,272",29.6,"1,260",8.7,"14,419"
11,Cabo Rojo,"5,208",59.7,435,5.0,204,2.3,285,3.3,924,10.6,"2,586",29.7,"8,718"
12,Caguas,"8,100",62.5,"1,365",10.5,631,4.9,"1,226",9.5,"3,222",24.8,"1,646",12.7,"12,968"
13,Camuy,"4,325",62.3,"1,112",16.0,524,7.6,196,2.8,"1,832",26.4,780,11.2,"6,937"
14,Carolina,"4,404",63.0,435,6.2,789,11.3,743,10.6,"1,967",28.1,617,8.8,"6,988"
15,Cataño,"2,641",52.3,"1,592",31.5,192,3.8,244,4.8,"2,028",40.2,381,7.5,"5,050"
16,Cayey,"7,315",61.7,"1,973",16.6,943,8.0,410,3.5,"3,326",28.0,"1,217",10.3,"11,858"
17,Ceiba,"1,736",61.1,29,1.0,859,30.2,35,1.2,923,32.5,183,6.4,"2,842"
18,Ciales,"4,142",67.0,"1,377",22.3,384,6.2,32,0.5,"1,793",29.0,249,4.0,"6,184"
19,Cidra,"3,753",68.7,277,5.1,165,3.0,179,3.3,621,11.4,"1,086",19.9,"5,460"
20,Coamo,"5,912",69.7,"2,059",24.3,214,2.5,59,0.7,"2,332",27.5,241,2.8,"8,485"
21,Comerío,"4,201",78.0,113,2.1,304,5.6,82,1.5,499,9.3,685,12.7,"5,385"
22,Corozal,"3,949",60.9,"1,711",26.4,383,5.9,210,3.2,"2,304",35.6,227,3.5,"6,480"
23,Culebra,187,50.5,58,15.7,97,26.2,19,5.1,174,47.0,9,2.4,370
24,Dorado,"2,480",72.6,237,6.9,318,9.3,57,1.7,612,17.9,326,9.5,"3,418"
25,Fajardo,"3,835",49.4,125,1.6,"2,614",33.6,381,4.9,"3,120",40.2,815,10.5,"7,770"
26,Guánica,"2,943",68.1,442,10.2,61,1.4,45,1.0,548,12.7,833,19.3,"4,324"
27,Guayama,"8,235",74.4,583,5.3,344,3.1,601,5.4,"1,528",13.8,"1,307",11.8,"11,070"
28,Guayanilla,"3,941",60.1,646,9.9,177,2.7,"1,334",20.4,"2,157",32.9,454,6.9,"6,552"
29,Guaynabo,"3,088",49.4,"1,796",28.7,583,9.3,342,5.5,"2,721",43.6,438,7.0,"6,247"
30,Gurabo,"3,161",63.1,332,6.6,679,13.6,362,7.2,"1,373",27.4,473,9.4,"5,007"
31,Hatillo,"3,552",58.1,436,7.1,"1,009",16.5,153,2.5,"1,598",26.2,959,15.7,"6,109"
32,Hormigueros,"1,544",59.6,118,4.6,241,9.3,487,18.8,846,32.6,202,7.8,"2,592"
