,municipios,votos_Partido_Popular_Democrático,pct_Partido_Popular_Democrático,votos_Partido_Independentista_Puertorriqueño,pct_Partido_Independentista_Puertorriqueño,votos_Partido_Estadista_Puertorriqueño,pct_Partido_Estadista_Puertorriqueño,votos_Partido_Socialista_Puertorriqueño,pct_Partido_Socialista_Puertorriqueño,total
0,Adjuntas,"4,197",64.0,580,8.8,"1,700",25.9,84,1.3,"6,561"
1,Aguada,"4,024",73.4,"1,112",20.3,272,5.0,73,1.3,"5,481"
2,Aguadilla,"5,757",52.5,"2,338",21.3,"2,783",25.4,78,0.7,"10,956"
3,Aguas Buenas,"2,973",63.1,686,14.6,"1,015",21.5,40,0.8,"4,714"
4,Aibonito,"4,143",74.7,246,4.4,"1,137",20.5,23,0.4,"5,549"
5,Añasco,"3,670",64.4,408,7.2,904,15.9,721,12.6,"5,703"
6,Arecibo,"17,404",65.4,"4,530",17.0,480,1.8,"4,183",15.7,"26,597"
7,Arroyo,"2,712",64.5,"1,176",28.0,121,2.9,194,4.6,"4,203"
8,Barceloneta,"4,576",66.9,612,8.9,180,2.6,"1,474",21.5,"6,842"
9,Barranquitas,"4,486",84.8,725,13.7,64,1.2,12,0.2,"5,287"
10,Bayamón,"9,461",62.6,"3,421",22.6,"2,087",13.8,140,0.9,"15,109"
11,Cabo Rojo,"5,170",61.1,"2,184",25.8,"1,000",11.8,107,1.3,"8,461"
12,Caguas,"11,564",65.2,"4,329",24.4,"1,653",9.3,186,1.0,"17,732"
13,Camuy,"4,605",66.2,"1,375",19.8,833,12.0,148,2.1,"6,961"
14,Carolina,"5,605",71.5,"1,776",22.7,184,2.3,275,3.5,"7,840"
15,Cataño,"3,069",52.1,"1,265",21.5,"1,478",25.1,79,1.3,"5,891"
16,Cayey,"7,795",70.1,"1,637",14.7,"1,331",12.0,359,3.2,"11,122"
17,Ceiba,"1,975",74.9,368,14.0,40,1.5,254,9.6,"2,637"
18,Ciales,"3,960",69.5,441,7.7,"1,220",21.4,77,1.4,"5,698"
19,Cidra,"3,975",68.3,"1,546",26.6,168,2.9,131,2.3,"5,820"
20,Coamo,"5,055",60.2,175,2.1,"3,132",37.3,30,0.4,"8,392"
21,Comerío,"4,642",86.0,542,10.0,77,1.4,134,2.5,"5,395"
22,Corozal,"4,410",65.1,"1,039",15.3,"1,265",18.7,57,0.8,"6,771"
23,Culebra,241,73.0,37,11.2,45,13.6,7,2.1,330
24,Dorado,"2,656",74.2,545,15.2,343,9.6,36,1.0,"3,580"
25,Fajardo,"3,970",57.4,"2,536",36.7,110,1.6,299,4.3,"6,915"
26,Guánica,"3,114",65.5,"1,067",22.4,534,11.2,42,0.9,"4,757"
27,Guayama,"7,558",76.3,"1,709",17.3,533,5.4,103,1.0,"9,903"
28,Guayanilla,"3,781",67.1,821,14.6,965,17.1,72,1.3,"5,639"
29,Guaynabo,"3,775",54.1,921,13.2,"2,169",31.1,110,1.6,"6,975"
30,Gurabo,"3,601",74.3,760,15.7,184,3.8,303,6.3,"4,848"
31,Hatillo,"4,369",68.2,"1,222",19.1,442,6.9,377,5.9,"6,410"
32,Hormigueros,"1,660",64.2,443,17.1,436,16.9,46,1.8,"2,585"
33,Humacao,"9,254",79.9,"1,649",14.2,406,3.5,279,2.4,"11,588"
34,Isabela,"6,455",61.9,"1,479",14.2,"2,449",23.5,40,0.4,"10,423"
35,Jayuya,"3,249",69.3,829,17.7,448,9.6,159,3.4,"4,685"
