,municipios,votos_P_P_D,pct_P_P_D,votos_P_E_R,pct_P_E_R,votos_P_A_C,pct_P_A_C,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"3,886",57.6,"2,705",40.1,27,0.4,134,2.0,"6,752"
1,Aguada,"3,617",54.4,737,11.1,"2,165",32.6,132,2.0,"6,651"
2,Aguadilla,"7,637",57.3,"5,275",39.6,92,0.7,332,2.5,"13,336"
3,Aguas Buenas,"3,523",57.1,"2,035",33.0,379,6.1,230,3.7,"6,167"
4,Aibonito,"3,992",63.8,"1,509",24.1,576,9.2,180,2.9,"6,257"
5,Añasco,"3,932",59.6,"2,470",37.4,120,1.8,76,1.2,"6,598"
6,Arecibo,"17,041",58.9,"10,806",37.4,393,1.4,687,2.4,"28,927"
7,Arroyo,"2,644",58.2,"1,612",35.5,97,2.1,189,4.2,"4,542"
8,Barceloneta,"5,039",63.3,"2,734",34.4,54,0.7,129,1.6,"7,956"
9,Barranquitas,"3,762",60.4,475,7.6,"1,796",28.8,195,3.1,"6,228"
10,Bayamón,"16,413",56.4,"11,223",38.6,641,2.2,804,2.8,"29,081"
11,Cabo Rojo,"5,213",64.2,"2,161",26.6,150,1.8,601,7.4,"8,125"
12,Caguas,"14,468",62.2,"6,165",26.5,"1,899",8.2,722,3.1,"23,254"
13,Camuy,"4,722",63.0,"2,515",33.5,117,1.6,146,1.9,"7,500"
14,Carolina,"8,700",59.1,"5,559",37.8,74,0.5,392,2.7,"14,725"
15,Cataño,"4,155",48.1,"4,097",47.4,162,1.9,230,2.7,"8,644"
16,Cayey,"8,731",67.7,"3,401",26.4,513,4.0,246,1.9,"12,891"
17,Ceiba,"1,696",62.1,972,35.6,13,0.5,51,1.9,"2,732"
18,Ciales,"3,584",61.3,"1,878",32.1,267,4.6,113,1.9,"5,842"
19,Cidra,"4,027",61.0,935,14.2,"1,369",20.7,270,4.1,"6,601"
20,Coamo,"5,095",57.9,"3,376",38.3,237,2.7,97,1.1,"8,805"
21,Comerío,"4,311",74.4,755,13.0,649,11.2,82,1.4,"5,797"
22,Corozal,"4,413",50.3,"3,714",42.4,541,6.2,101,1.2,"8,769"
23,Culebra,214,67.5,97,30.6,0,0.0,6,1.9,317
24,Dorado,"3,635",71.0,"1,298",25.3,60,1.2,128,2.5,"5,121"
25,Fajardo,"4,348",52.3,"3,756",45.2,44,0.5,167,2.0,"8,315"
26,Guánica,"2,953",57.3,"1,994",38.7,48,0.9,157,3.0,"5,152"
27,Guayama,"6,859",64.5,"3,090",29.1,429,4.0,255,2.4,"10,633"
28,Guayanilla,"4,215",68.1,"1,663",26.9,17,0.3,293,4.7,"6,188"
