,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_P,pct_P_P,votos_P_I_P,pct_P_I_P,votos_P_E_R,pct_P_E_R,total
0,Adjuntas,"3,183",45.9,"2,718",39.2,897,12.9,113,1.6,26,0.4,"6,937"
1,Aguada,"3,212",45.9,"2,898",41.4,657,9.4,222,3.2,5,0.1,"6,994"
2,Aguadilla,"6,038",43.1,"5,504",39.3,"1,910",13.6,303,2.2,263,1.9,"14,018"
3,Aguas Buenas,"2,632",41.4,"2,839",44.6,489,7.7,311,4.9,94,1.5,"6,365"
4,Aibonito,"2,111",32.5,"3,576",55.1,564,8.7,221,3.4,21,0.3,"6,493"
5,Añasco,"2,951",42.8,"2,990",43.3,738,10.7,117,1.7,105,1.5,"6,901"
6,Arecibo,"12,722",42.8,"12,195",41.0,"3,968",13.3,758,2.5,99,0.3,"29,742"
7,Arroyo,"1,843",40.1,"1,953",42.5,587,12.8,184,4.0,24,0.5,"4,591"
8,Barceloneta,"3,213",37.3,"3,464",40.2,"1,764",20.5,134,1.6,33,0.4,"8,608"
9,Barranquitas,"1,850",29.8,"2,952",47.5,"1,032",16.6,368,5.9,9,0.1,"6,211"
10,Bayamón,"22,870",49.7,"16,274",35.3,"4,407",9.6,"2,332",5.1,161,0.3,"46,044"
11,Cabo Rojo,"2,584",29.6,"3,602",41.2,"1,902",21.8,606,6.9,44,0.5,"8,738"
12,Caguas,"12,239",44.4,"11,091",40.3,"3,002",10.9,"1,164",4.2,59,0.2,"27,555"
13,Camuy,"3,126",40.1,"3,886",49.8,594,7.6,168,2.2,23,0.3,"7,797"
14,Carolina,"10,751",46.8,"8,293",36.1,"3,059",13.3,834,3.6,45,0.2,"22,982"
15,Cataño,"4,961",55.3,"2,668",29.8,"1,004",11.2,294,3.3,41,0.5,"8,968"
16,Cayey,"4,305",31.8,"6,838",50.5,"2,076",15.3,280,2.1,51,0.4,"13,550"
17,Ceiba,"1,188",38.7,"1,226",40.0,580,18.9,46,1.5,26,0.8,"3,066"
18,Ciales,"2,055",35.4,"2,019",34.8,"1,561",26.9,151,2.6,20,0.3,"5,806"
19,Cidra,"2,975",41.4,"3,288",45.8,592,8.2,310,4.3,18,0.3,"7,183"
20,Coamo,"3,993",44.3,"4,314",47.9,552,6.1,123,1.4,26,0.3,"9,008"
21,Comerío,"2,144",35.3,"3,295",54.2,460,7.6,163,2.7,13,0.2,"6,075"
22,Corozal,"4,659",49.9,"4,255",45.5,247,2.6,159,1.7,26,0.3,"9,346"
23,Culebra,86,23.9,214,59.4,31,8.6,14,3.9,15,4.2,360
24,Dorado,"2,028",34.0,"2,776",46.5,"1,002",16.8,145,2.4,22,0.4,"5,973"
25,Fajardo,"4,372",48.2,"3,291",36.3,"1,209",13.3,178,2.0,21,0.2,"9,071"
26,Guánica,"2,370",43.3,"2,097",38.3,831,15.2,155,2.8,16,0.3,"5,469"
27,Guayama,"4,107",36.1,"4,516",39.7,"2,418",21.3,247,2.2,84,0.7,"11,372"
28,Guayanilla,"2,503",38.8,"2,662",41.3,902,14.0,340,5.3,38,0.6,"6,445"
29,Guaynabo,"9,910",50.4,"6,756",34.4,"1,971",10.0,906,4.6,103,0.5,"19,646"
30,Gurabo,"2,127",31.2,"3,643",53.4,907,13.3,112,1.6,28,0.4,"6,817"
31,Hatillo,"2,982",38.1,"4,283",54.8,318,4.1,226,2.9,9,0.1,"7,818"
32,Hormigueros,987,29.5,"1,460",43.7,800,23.9,71,2.1,24,0.7,"3,342"
33,Humacao,"3,706",28.5,"6,593",50.8,"2,296",17.7,332,2.6,56,0.4,"12,983"
34,Isabela,"3,681",34.6,"5,219",49.0,"1,231",11.6,306,2.9,213,2.0,"10,650"
35,Jayuya,"2,126",44.2,"2,010",41.8,474,9.9,182,3.8,13,0.3,"4,805"
36,Juana Díaz,"5,295",48.6,"4,565",41.9,901,8.3,115,1.1,26,0.2,"10,902"
37,Juncos,"3,295",39.2,"3,894",46.4,970,11.5,195,2.3,47,0.6,"8,401"
38,Lajas,"1,458",25.5,"2,869",50.1,"1,237",21.6,134,2.3,28,0.5,"5,726"
39,Lares,"2,874",35.7,"3,705",46.0,"1,053",13.1,386,4.8,28,0.3,"8,046"
40,Las Marías,686,23.8,"1,491",51.6,659,22.8,40,1.4,12,0.4,"2,888"
41,Las Piedras,"3,022",44.0,"3,218",46.9,541,7.9,72,1.0,10,0.1,"6,863"
42,Loíza,"3,560",31.9,"4,749",42.6,"2,385",21.4,394,3.5,62,0.6,"11,150"
