,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,votos_P_P,pct_P_P,votos_P_U_P,pct_P_U_P,votos_P_A_S,pct_P_A_S,total
0,Adjuntas,"4,603",51.6,"3,968",44.4,311,3.5,31,0.3,13,0.1,2,0.0,"8,928"
1,Aguada,"5,222",49.7,"4,586",43.7,644,6.1,32,0.3,12,0.1,1,0.0,"10,497"
2,Aguadilla,"10,251",50.2,"9,111",44.6,967,4.7,64,0.3,34,0.2,6,0.0,"20,433"
3,Aguas Buenas,"4,671",51.8,"3,663",40.6,654,7.3,26,0.3,0,0.0,0,0.0,"9,014"
4,Aibonito,"5,392",58.7,"3,173",34.5,575,6.3,29,0.3,15,0.2,2,0.0,"9,186"
5,Añasco,"4,939",53.4,"4,053",43.8,234,2.5,18,0.2,9,0.1,3,0.0,"9,256"
6,Arecibo,"20,359",51.0,"17,540",43.9,"1,816",4.6,136,0.3,49,0.1,9,0.0,"39,909"
7,Arroyo,"3,251",48.8,"2,692",40.4,714,10.7,9,0.1,0,0.0,0,0.0,"6,666"
8,Barceloneta,"4,516",53.6,"3,370",40.0,370,4.4,154,1.8,15,0.2,2,0.0,"8,427"
9,Barranquitas,"4,741",52.8,"3,427",38.2,771,8.6,28,0.3,11,0.1,2,0.0,"8,980"
10,Bayamón,"37,207",48.9,"34,098",44.8,"4,344",5.7,164,0.2,277,0.4,44,0.1,"76,134"
11,Cabo Rojo,"7,178",54.3,"4,759",36.0,"1,189",9.0,21,0.2,62,0.5,4,0.0,"13,213"
12,Caguas,"23,368",51.1,"19,682",43.0,"2,517",5.5,80,0.2,109,0.2,4,0.0,"45,760"
13,Camuy,"5,815",53.2,"4,634",42.4,436,4.0,33,0.3,8,0.1,3,0.0,"10,929"
14,Canóvanas,"6,668",58.4,"3,436",30.1,"1,214",10.6,80,0.7,19,0.2,1,0.0,"11,418"
15,Carolina,"22,006",50.0,"19,408",44.1,"2,299",5.2,116,0.3,189,0.4,30,0.1,"44,048"
16,Cataño,"5,058",43.5,"5,833",50.2,693,6.0,20,0.2,16,0.1,6,0.1,"11,626"
17,Cayey,"10,601",58.0,"6,430",35.2,"1,199",6.6,33,0.2,21,0.1,3,0.0,"18,287"
18,Ceiba,"2,247",52.9,"1,801",42.4,155,3.6,40,0.9,5,0.1,2,0.0,"4,250"
19,Ciales,"3,780",50.1,"3,343",44.3,277,3.7,127,1.7,15,0.2,2,0.0,"7,544"
20,Cidra,"5,213",51.5,"4,233",41.8,620,6.1,27,0.3,19,0.2,3,0.0,"10,115"
21,Coamo,"6,530",51.4,"5,779",45.5,364,2.9,22,0.2,10,0.1,1,0.0,"12,706"
22,Comerío,"4,575",57.0,"2,912",36.3,495,6.2,37,0.5,11,0.1,1,0.0,"8,031"
23,Corozal,"6,182",50.0,"5,684",46.0,445,3.6,12,0.1,28,0.2,2,0.0,"12,353"
24,Culebra,288,60.5,149,31.3,38,8.0,1,0.2,0,0.0,0,0.0,476
25,Dorado,"5,298",61.4,"2,840",32.9,411,4.8,58,0.7,12,0.1,6,0.1,"8,625"
26,Fajardo,"5,918",47.6,"5,970",48.0,500,4.0,27,0.2,14,0.1,6,0.0,"12,435"
27,Florida,"1,703",50.7,"1,430",42.6,189,5.6,30,0.9,3,0.1,1,0.0,"3,356"
28,Guánica,"3,835",48.7,"3,533",44.9,452,5.7,41,0.5,13,0.2,1,0.0,"7,875"
29,Guayama,"8,667",52.7,"6,686",40.7,"1,033",6.3,41,0.2,11,0.1,4,0.0,"16,442"
30,Guayanilla,"5,088",54.2,"3,615",38.5,639,6.8,31,0.3,13,0.1,2,0.0,"9,388"
31,Guaynabo,"13,968",46.2,"14,579",48.2,"1,515",5.0,56,0.2,132,0.4,11,0.0,"30,261"
32,Gurabo,"5,760",57.3,"3,678",36.6,574,5.7,39,0.4,7,0.1,2,0.0,"10,060"
33,Hatillo,"6,382",55.0,"4,668",40.3,523,4.5,8,0.1,12,0.1,3,0.0,"11,596"
34,Hormigueros,"3,293",58.3,"2,002",35.4,297,5.3,52,0.9,6,0.1,3,0.1,"5,653"
35,Humacao,"11,062",61.1,"6,274",34.7,693,3.8,61,0.3,4,0.0,1,0.0,"18,095"
36,Isabela,"8,324",55.3,"5,524",36.7,"1,116",7.4,70,0.5,12,0.1,0,0.0,"15,046"
37,Jayuya,"3,077",48.7,"2,823",44.7,352,5.6,55,0.9,5,0.1,0,0.0,"6,312"
38,Juana Díaz,"7,658",52.6,"6,456",44.3,414,2.8,14,0.1,15,0.1,6,0.0,"14,563"
39,Juncos,"6,461",57.0,"4,303",37.9,548,4.8,18,0.2,10,0.1,2,0.0,"11,342"
40,Lajas,"5,039",60.4,"2,901",34.8,344,4.1,35,0.4,18,0.2,3,0.0,"8,340"
41,Lares,"6,108",54.5,"4,218",37.6,838,7.5,27,0.2,16,0.1,1,0.0,"11,208"
42,Las Marías,"2,320",61.0,"1,274",33.5,174,4.6,28,0.7,4,0.1,1,0.0,"3,801"
43,Las Piedras,"5,222",51.8,"4,615",45.8,188,1.9,47,0.5,9,0.1,1,0.0,"10,082"
44,Loíza,"2,402",37.5,"3,702",57.9,278,4.3,9,0.1,6,0.1,2,0.0,"6,399"
45,Luquillo,"2,932",50.9,"2,561",44.5,223,3.9,21,0.4,20,0.3,3,0.1,"5,760"
