,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_P_S_P,pct_P_S_P,total
0,Adjuntas,"4,439",48.8,"4,353",47.8,289,3.2,22,0.2,"9,103"
1,Aguada,"6,613",50.6,"5,741",43.9,560,4.3,167,1.3,"13,081"
2,Aguadilla,"12,345",50.9,"10,717",44.2,"1,019",4.2,165,0.7,"24,246"
3,Aguas Buenas,"4,442",44.5,"4,794",48.0,705,7.1,50,0.5,"9,991"
4,Aibonito,"3,366",34.9,"5,655",58.6,564,5.8,58,0.6,"9,643"
5,Añasco,"5,128",47.1,"5,493",50.5,249,2.3,9,0.1,"10,879"
6,Arecibo,"21,478",49.5,"19,749",45.5,"1,900",4.4,246,0.6,"43,373"
7,Arroyo,"3,440",47.1,"3,279",44.9,566,7.7,22,0.3,"7,307"
8,Barceloneta,"4,686",49.3,"4,433",46.6,278,2.9,114,1.2,"9,511"
9,Barranquitas,"4,650",46.0,"4,730",46.8,665,6.6,72,0.7,"10,117"
10,Bayamón,"46,483",50.0,"39,249",42.2,"6,607",7.1,614,0.7,"92,953"
11,Cabo Rojo,"6,104",38.9,"7,672",48.9,"1,775",11.3,149,0.9,"15,700"
12,Caguas,"25,670",47.7,"24,371",45.3,"3,318",6.2,474,0.9,"53,833"
13,Camuy,"5,481",46.2,"5,959",50.2,330,2.8,96,0.8,"11,866"
14,Canóvanas,"5,497",40.6,"7,192",53.1,803,5.9,40,0.3,"13,532"
15,Carolina,"34,914",51.3,"27,835",40.9,"4,880",7.2,444,0.7,"68,073"
16,Cataño,"6,382",55.8,"4,276",37.4,712,6.2,66,0.6,"11,436"
17,Cayey,"7,581",40.5,"10,010",53.4,990,5.3,151,0.8,"18,732"
18,Ceiba,"2,371",49.3,"2,256",46.9,155,3.2,28,0.6,"4,810"
19,Ciales,"4,335",52.7,"3,690",44.9,156,1.9,46,0.6,"8,227"
20,Cidra,"5,710",46.5,"5,751",46.8,782,6.4,47,0.4,"12,290"
21,Coamo,"6,970",49.1,"6,695",47.1,505,3.6,31,0.2,"14,201"
22,Comerío,"3,533",40.4,"4,676",53.5,465,5.3,72,0.8,"8,746"
23,Corozal,"6,888",49.9,"6,404",46.4,498,3.6,18,0.1,"13,808"
24,Culebra,184,32.7,315,56.0,63,11.2,0,0.0,562
25,Dorado,"3,844",38.2,"5,504",54.7,649,6.4,74,0.7,"10,071"
26,Fajardo,"7,123",50.5,"6,183",43.8,733,5.2,78,0.6,"14,117"
27,Florida,"1,548",46.6,"1,588",47.8,174,5.2,9,0.3,"3,319"
28,Guánica,"4,075",47.4,"3,987",46.4,479,5.6,55,0.6,"8,596"
29,Guayama,"7,523",44.2,"8,408",49.4,983,5.8,118,0.7,"17,032"
30,Guayanilla,"4,207",43.3,"4,612",47.5,791,8.1,96,1.0,"9,706"
31,Guaynabo,"19,436",53.6,"14,399",39.7,"2,192",6.0,211,0.6,"36,238"
32,Gurabo,"4,585",42.7,"5,731",53.4,332,3.1,85,0.8,"10,733"
33,Hatillo,"5,818",44.1,"6,928",52.5,385,2.9,73,0.6,"13,204"
34,Hormigueros,"2,795",41.1,"3,596",52.9,392,5.8,13,0.2,"6,796"
35,Humacao,"8,369",41.4,"10,757",53.2,928,4.6,149,0.7,"20,203"
36,Isabela,"6,975",42.4,"8,476",51.6,817,5.0,168,1.0,"16,436"
37,Jayuya,"3,678",51.5,"3,029",42.4,396,5.5,41,0.6,"7,144"
38,Juana Díaz,"8,444",51.0,"7,495",45.2,569,3.4,61,0.4,"16,569"
39,Juncos,"5,663",47.3,"5,796",48.4,452,3.8,64,0.5,"11,975"
40,Lajas,"4,134",42.1,"5,265",53.6,404,4.1,24,0.2,"9,827"
41,Lares,"5,513",43.8,"6,320",50.2,671,5.3,85,0.7,"12,589"
42,Las Marías,"1,534",37.7,"2,354",57.9,176,4.3,4,0.1,"4,068"
43,Las Piedras,"5,801",51.2,"5,205",45.9,285,2.5,47,0.4,"11,338"
44,Loíza,"4,504",62.3,"2,441",33.8,271,3.7,12,0.2,"7,228"
45,Luquillo,"3,350",53.1,"2,733",43.3,193,3.1,38,0.6,"6,314"
46,Manatí,"8,712",49.3,"8,124",46.0,728,4.1,97,0.5,"17,661"
47,Maricao,"1,484",46.3,"1,626",50.8,90,2.8,3,0.1,"3,203"
48,Maunabo,"2,536",45.9,"2,553",46.2,396,7.2,46,0.8,"5,531"
49,Mayagüez,"20,321",45.5,"21,274",47.6,"2,846",6.4,257,0.6,"44,698"
50,Moca,"6,429",51.3,"5,697",45.4,385,3.1,33,0.3,"12,544"
51,Morovis,"4,464",44.1,"5,347",52.8,215,2.1,103,1.0,"10,129"
52,Naguabo,"4,818",48.0,"4,978",49.6,217,2.2,33,0.3,"10,046"
53,Naranjito,"4,285",37.1,"6,714",58.1,499,4.3,56,0.5,"11,554"
54,Orocovis,"4,677",48.1,"4,685",48.2,264,2.7,97,1.0,"9,723"
55,Patillas,"4,145",47.3,"4,029",46.0,536,6.1,51,0.6,"8,761"
56,Peñuelas,"3,826",44.3,"4,118",47.7,601,7.0,91,1.1,"8,636"
57,Ponce,"41,157",52.2,"32,199",40.8,"4,951",6.3,586,0.7,"78,893"
58,Quebradillas,"3,906",44.1,"4,485",50.6,433,4.9,33,0.4,"8,857"
59,Rincón,"2,242",40.4,"3,089",55.7,207,3.7,11,0.2,"5,549"
60,Río Grande,"6,901",48.9,"6,389",45.3,730,5.2,84,0.6,"14,104"
61,Sabana Grande,"3,362",33.9,"6,128",61.8,383,3.9,37,0.4,"9,910"
62,Salinas,"4,105",36.6,"6,605",58.8,462,4.1,56,0.5,"11,228"
63,San Germán,"6,724",44.5,"7,448",49.3,831,5.5,107,0.7,"15,110"
64,San Juan,"116,883",52.4,"86,784",38.9,"16,472",7.4,"2,728",1.2,"222,867"
65,San Lorenzo,"7,994",51.6,"7,039",45.5,405,2.6,45,0.3,"15,483"
66,San Sebastián,"7,175",42.2,"8,465",49.8,"1,253",7.4,119,0.7,"17,012"
67,Santa Isabel,"4,011",47.6,"4,017",47.7,352,4.2,43,0.5,"8,423"
68,Toa Alta,"5,445",47.8,"5,301",46.5,569,5.0,82,0.7,"11,397"
69,Toa Baja,"15,257",49.6,"12,997",42.3,"2,198",7.2,278,0.9,"30,730"
70,Trujillo Alto,"9,833",48.4,"8,591",42.3,"1,668",8.2,223,1.1,"20,315"
71,Utuado,"8,647",50.5,"7,664",44.8,669,3.9,133,0.8,"17,113"
72,Vega Alta,"5,825",46.0,"6,091",48.1,610,4.8,145,1.1,"12,671"
73,Vega Baja,"9,449",47.4,"9,314",46.7,"1,069",5.4,98,0.5,"19,930"
74,Vieques,"1,879",45.6,"2,033",49.3,183,4.4,30,0.7,"4,125"
75,Villalba,"4,523",51.5,"4,088",46.5,161,1.8,12,0.1,"8,784"
76,Yabucoa,"7,218",44.9,"8,226",51.2,489,3.0,149,0.9,"16,082"
77,Yauco,"8,126",46.3,"8,201",46.8,"1,059",6.0,156,0.9,"17,542"
78,"Total,Puerto Rico","703,968",48.3,"660,401",45.3,"83,037",5.7,"10,728",0.7,"1,458,134"
