,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_R_P,pct_P_R_P,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"5,377",49.5,"4,944",45.5,335,3.1,201,1.9,"10,857"
1,Aguada,"8,018",45.4,"8,373",47.4,709,4.0,567,3.2,"17,667"
2,Aguadilla,"13,226",46.4,"13,380",47.0,"1,141",4.0,742,2.6,"28,489"
3,Aguas Buenas,"6,210",47.1,"6,045",45.9,306,2.3,614,4.7,"13,175"
4,Aibonito,"7,274",58.9,"4,182",33.9,456,3.7,440,3.6,"12,352"
5,Añasco,"6,755",51.2,"5,990",45.4,240,1.8,215,1.6,"13,200"
6,Arecibo,"24,187",48.0,"23,797",47.2,"1,136",2.3,"1,287",2.6,"50,407"
7,Arroyo,"4,669",46.2,"4,618",45.7,352,3.5,476,4.7,"10,115"
8,Barceloneta,"5,563",47.8,"5,465",46.9,381,3.3,238,2.0,"11,647"
9,Barranquitas,"6,398",48.4,"6,133",46.4,146,1.1,547,4.1,"13,224"
10,Bayamón,"48,119",44.6,"50,885",47.2,"4,348",4.0,"4,521",4.2,"107,873"
11,Cabo Rojo,"9,863",50.5,"7,358",37.7,"1,105",5.7,"1,217",6.2,"19,543"
12,Caguas,"30,646",48.1,"27,826",43.7,"2,457",3.9,"2,718",4.3,"63,647"
13,Camuy,"7,679",50.2,"6,948",45.4,376,2.5,299,2.0,"15,302"
14,Canóvanas,"8,959",53.2,"6,687",39.7,591,3.5,602,3.6,"16,839"
15,Carolina,"35,371",43.8,"37,033",45.9,"4,987",6.2,"3,331",4.1,"80,722"
16,Cataño,"5,667",40.4,"6,966",49.6,872,6.2,538,3.8,"14,043"
17,Cayey,"12,082",54.5,"8,445",38.1,896,4.0,764,3.4,"22,187"
18,Ceiba,"3,128",49.3,"2,779",43.8,302,4.8,131,2.1,"6,340"
19,Ciales,"4,566",45.9,"4,942",49.7,227,2.3,212,2.1,"9,947"
20,Cidra,"8,026",47.7,"7,542",44.8,483,2.9,772,4.6,"16,823"
21,Coamo,"9,135",50.3,"8,205",45.2,454,2.5,366,2.0,"18,160"
22,Comerío,"5,795",52.5,"4,676",42.4,194,1.8,365,3.3,"11,030"
23,Corozal,"8,372",47.2,"8,608",48.5,314,1.8,441,2.5,"17,735"
24,Culebra,515,62.3,262,31.7,6,0.7,43,5.2,826
25,Dorado,"8,061",55.4,"5,381",37.0,498,3.4,609,4.2,"14,549"
26,Fajardo,"8,070",47.7,"7,378",43.6,990,5.9,477,2.8,"16,915"
27,Florida,"2,132",46.5,"2,065",45.1,127,2.8,258,5.6,"4,582"
28,Guánica,"4,766",48.4,"4,140",42.0,540,5.5,403,4.1,"9,849"
29,Guayama,"10,000",50.9,"8,245",41.9,769,3.9,644,3.3,"19,658"
30,Guayanilla,"5,446",49.3,"4,609",41.7,369,3.3,624,5.6,"11,048"
31,Guaynabo,"18,065",42.0,"21,223",49.3,"2,147",5.0,"1,624",3.8,"43,059"
32,Gurabo,"6,783",49.7,"6,207",45.5,337,2.5,319,2.3,"13,646"
33,Hatillo,"8,885",53.0,"7,264",43.3,267,1.6,343,2.0,"16,759"
34,Hormigueros,"4,514",55.1,"3,096",37.8,297,3.6,291,3.5,"8,198"
35,Humacao,"14,526",55.3,"9,982",38.0,922,3.5,829,3.2,"26,259"
36,Isabela,"10,398",51.2,"8,748",43.1,538,2.7,608,3.0,"20,292"
37,Jayuya,"4,022",47.0,"3,995",46.7,256,3.0,289,3.4,"8,562"
38,Juana Díaz,"10,462",48.1,"9,965",45.8,878,4.0,453,2.1,"21,758"
39,Juncos,"7,591",48.1,"7,419",47.1,366,2.3,390,2.5,"15,766"
40,Lajas,"6,888",57.5,"4,494",37.5,357,3.0,232,1.9,"11,971"
41,Lares,"7,623",50.4,"6,721",44.4,260,1.7,531,3.5,"15,135"
42,Las Marías,"2,832",57.2,"1,896",38.3,98,2.0,122,2.5,"4,948"
43,Las Piedras,"6,822",48.6,"6,532",46.6,447,3.2,224,1.6,"14,025"
44,Loíza,"4,119",36.5,"6,500",57.7,384,3.4,269,2.4,"11,272"
45,Luquillo,"4,447",49.4,"4,030",44.8,302,3.4,224,2.5,"9,003"
46,Manatí,"9,948",45.0,"11,008",49.8,561,2.5,594,2.7,"22,111"
47,Maricao,"1,894",53.4,"1,522",42.9,82,2.3,47,1.3,"3,545"
48,Maunabo,"3,169",47.3,"3,046",45.5,141,2.1,343,5.1,"6,699"
49,Mayagüez,"26,004",51.5,"20,693",41.0,"1,963",3.9,"1,792",3.6,"50,452"
50,Moca,"7,735",47.2,"8,005",48.8,345,2.1,302,1.8,"16,387"
51,Morovis,"6,862",53.2,"5,569",43.2,189,1.5,284,2.2,"12,904"
52,Naguabo,"5,942",50.7,"5,098",43.5,518,4.4,156,1.3,"11,714"
53,Naranjito,"8,580",58.9,"5,325",36.6,190,1.3,463,3.2,"14,558"
54,Orocovis,"5,692",46.8,"6,082",50.0,143,1.2,245,2.0,"12,162"
55,Patillas,"5,104",49.4,"4,526",43.8,308,3.0,387,3.7,"10,325"
56,Peñuelas,"5,653",52.6,"4,153",38.7,327,3.0,606,5.6,"10,739"
57,Ponce,"38,083",44.8,"37,236",43.8,"6,259",7.4,"3,401",4.0,"84,979"
58,Quebradillas,"5,636",51.0,"4,749",42.9,307,2.8,367,3.3,"11,059"
59,Rincón,"3,995",57.9,"2,539",36.8,252,3.7,109,1.6,"6,895"
60,Río Grande,"8,788",46.6,"8,671",46.0,776,4.1,606,3.2,"18,841"
61,Sabana Grande,"7,339",62.8,"3,808",32.6,295,2.5,238,2.0,"11,680"
62,Salinas,"8,116",59.2,"4,684",34.1,585,4.3,336,2.4,"13,721"
63,San Germán,"9,540",52.2,"7,530",41.2,695,3.8,499,2.7,"18,264"
64,San Juan,"92,126",42.3,"101,800",46.8,"13,594",6.2,"10,202",4.7,"217,722"
65,San Lorenzo,"8,713",45.5,"9,485",49.5,518,2.7,444,2.3,"19,160"
66,San Sebastián,"10,437",52.6,"7,877",39.7,524,2.6,996,5.0,"19,834"
67,Santa Isabel,"5,192",51.5,"4,300",42.7,289,2.9,295,2.9,"10,076"
68,Toa Alta,"7,981",47.9,"7,613",45.6,460,2.8,624,3.7,"16,678"
69,Toa Baja,"17,938",46.8,"17,094",44.6,"1,696",4.4,"1,641",4.3,"38,369"
70,Trujillo Alto,"11,912",46.1,"11,279",43.7,"1,348",5.2,"1,284",5.0,"25,823"
71,Utuado,"9,127",47.6,"9,232",48.1,360,1.9,466,2.4,"19,185"
72,Vega Alta,"8,203",50.7,"7,042",43.5,418,2.6,527,3.3,"16,190"
73,Vega Baja,"13,051",49.0,"11,749",44.1,888,3.3,939,3.5,"26,627"
74,Vieques,"2,185",45.5,"2,168",45.2,166,3.5,282,5.9,"4,801"
75,Villalba,"5,407",46.1,"5,740",49.0,364,3.1,210,1.8,"11,721"
76,Yabucoa,"9,571",51.2,"8,179",43.8,447,2.4,494,2.6,"18,691"
77,Yauco,"10,734",50.0,"9,178",42.7,836,3.9,723,3.4,"21,471"
78,"Total,Puerto Rico","822,709",47.8,"768,959",44.6,"69,807",4.1,"61,312",3.6,"1,722,787"
