,municipios,votos_P_P_D,pct_P_P_D,votos_P_N_P,pct_P_N_P,votos_P_I_P,pct_P_I_P,total
0,Adjuntas,"5,446",48.6,"5,484",48.9,276,2.5,"11,206"
1,Aguada,"8,143",44.3,"9,398",51.1,846,4.6,"18,387"
2,Aguadilla,"13,663",46.3,"14,635",49.6,"1,201",4.1,"29,499"
3,Aguas Buenas,"6,707",47.4,"6,593",46.6,863,6.1,"14,163"
4,Aibonito,"7,836",58.8,"4,634",34.8,858,6.4,"13,328"
5,Añasco,"7,405",50.7,"6,818",46.7,377,2.6,"14,600"
6,Arecibo,"25,179",48.2,"25,101",48.0,"2,012",3.8,"52,292"
7,Arroyo,"4,863",48.9,"4,508",45.4,565,5.7,"9,936"
8,Barceloneta,"5,862",48.6,"5,790",48.0,406,3.4,"12,058"
9,Barranquitas,"6,834",48.7,"6,506",46.4,695,5.0,"14,035"
10,Bayamón,"49,976",44.5,"55,445",49.3,"6,983",6.2,"112,404"
11,Cabo Rojo,"10,940",52.2,"7,569",36.1,"2,436",11.6,"20,945"
12,Caguas,"32,147",48.5,"29,243",44.1,"4,921",7.4,"66,311"
13,Camuy,"8,253",49.8,"7,842",47.3,475,2.9,"16,570"
14,Canóvanas,"9,857",54.8,"7,180",39.9,939,5.2,"17,976"
15,Carolina,"40,142",46.6,"40,349",46.8,"5,740",6.7,"86,231"
16,Cataño,"6,661",43.9,"7,623",50.3,885,5.8,"15,169"
17,Cayey,"13,036",55.3,"8,932",37.9,"1,616",6.9,"23,584"
18,Ceiba,"3,358",50.1,"3,075",45.8,274,4.1,"6,707"
19,Ciales,"4,946",47.9,"5,105",49.4,273,2.6,"10,324"
20,Cidra,"8,556",47.1,"8,437",46.5,"1,157",6.4,"18,150"
21,Coamo,"9,717",52.2,"8,266",44.4,617,3.3,"18,600"
22,Comerío,"5,750",50.6,"5,121",45.0,498,4.4,"11,369"
23,Corozal,"8,898",47.1,"9,362",49.5,642,3.4,"18,902"
24,Culebra,529,62.7,263,31.2,52,6.2,844
25,Dorado,"8,372",53.5,"6,277",40.1,989,6.3,"15,638"
26,Fajardo,"8,471",46.8,"8,590",47.4,"1,054",5.8,"18,115"
27,Florida,"2,371",48.7,"2,258",46.4,238,4.9,"4,867"
28,Guánica,"5,250",52.2,"4,169",41.5,630,6.3,"10,049"
29,Guayama,"10,599",53.1,"8,228",41.2,"1,126",5.6,"19,953"
30,Guayanilla,"5,783",51.4,"4,633",41.2,842,7.5,"11,258"
31,Guaynabo,"19,498",43.1,"23,083",51.0,"2,691",5.9,"45,272"
32,Gurabo,"7,517",50.4,"6,763",45.4,632,4.2,"14,912"
