,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,total
0,Adjuntas,"5,782",51.6,"5,160",46.1,257,2.3,2,0.0,"11,201"
1,Aguada,"10,940",54.1,"8,480",42.0,783,3.9,5,0.0,"20,208"
2,Aguadilla,"16,234",53.2,"13,213",43.3,988,3.2,96,0.3,"30,531"
3,Aguas Buenas,"7,893",51.8,"6,536",42.9,793,5.2,2,0.0,"15,224"
4,Aibonito,"5,533",38.5,"8,066",56.1,780,5.4,3,0.0,"14,382"
5,Añasco,"7,890",50.9,"7,297",47.1,312,2.0,5,0.0,"15,504"
6,Arecibo,"28,316",52.6,"23,734",44.1,"1,771",3.3,18,0.0,"53,839"
7,Arroyo,"5,304",49.9,"4,842",45.6,477,4.5,2,0.0,"10,625"
8,Barceloneta,"6,513",51.4,"5,797",45.8,355,2.8,1,0.0,"12,666"
9,Barranquitas,"7,763",50.3,"7,126",46.2,532,3.4,2,0.0,"15,423"
10,Bayamón,"60,820",52.6,"49,158",42.5,"5,642",4.9,17,0.0,"115,637"
11,Cabo Rojo,"9,769",44.1,"10,756",48.5,"1,624",7.3,12,0.1,"22,161"
12,Caguas,"33,532",47.9,"32,646",46.7,"3,766",5.4,18,0.0,"69,962"
13,Camuy,"9,263",50.9,"8,550",47.0,368,2.0,2,0.0,"18,183"
14,Canóvanas,"9,513",48.7,"9,240",47.3,771,3.9,6,0.0,"19,530"
15,Carolina,"45,243",50.4,"40,201",44.8,"4,313",4.8,27,0.0,"89,784"
16,Cataño,"8,303",53.9,"6,396",41.5,702,4.6,3,0.0,"15,404"
17,Cayey,"10,520",43.3,"12,411",51.1,"1,356",5.6,7,0.0,"24,294"
18,Ceiba,"3,689",52.7,"3,115",44.5,199,2.8,1,0.0,"7,004"
19,Ciales,"5,823",53.6,"4,787",44.0,262,2.4,0,0.0,"10,872"
20,Cidra,"9,975",51.2,"8,455",43.4,"1,055",5.4,2,0.0,"19,487"
21,Coamo,"9,256",48.2,"9,455",49.2,496,2.6,13,0.1,"19,220"
22,Comerío,"5,858",49.3,"5,623",47.4,392,3.3,2,0.0,"11,875"
23,Corozal,"10,384",52.4,"8,906",44.9,531,2.7,2,0.0,"19,823"
24,Culebra,444,43.7,520,51.2,51,5.0,0,0.0,"1,015"
25,Dorado,"7,667",44.2,"8,868",51.2,787,4.5,6,0.0,"17,328"
26,Fajardo,"10,008",53.2,"8,019",42.6,771,4.1,6,0.0,"18,804"
27,Florida,"2,698",50.3,"2,395",44.7,265,4.9,1,0.0,"5,359"
28,Guánica,"5,239",49.4,"4,922",46.4,447,4.2,6,0.1,"10,614"
29,Guayama,"9,493",46.3,"10,191",49.7,829,4.0,8,0.0,"20,521"
30,Guayanilla,"5,458",45.8,"5,840",49.0,609,5.1,9,0.1,"11,916"
31,Guaynabo,"26,404",54.9,"19,362",40.3,"2,289",4.8,12,0.0,"48,067"
32,Gurabo,"8,293",50.7,"7,479",45.7,584,3.6,2,0.0,"16,358"
33,Hatillo,"9,756",49.7,"9,404",47.9,469,2.4,4,0.0,"19,633"
34,Hormigueros,"3,951",42.9,"4,786",52.0,460,5.0,5,0.1,"9,202"
35,Humacao,"12,695",44.9,"14,430",51.0,"1,147",4.1,11,0.0,"28,283"
36,Isabela,"11,121",48.3,"11,131",48.3,776,3.4,4,0.0,"23,032"
37,Jayuya,"4,727",51.2,"4,160",45.1,335,3.6,4,0.0,"9,226"
38,Juana Díaz,"12,038",50.4,"11,194",46.9,622,2.6,15,0.1,"23,869"
39,Juncos,"9,115",53.2,"7,487",43.7,522,3.0,4,0.0,"17,128"
40,Lajas,"6,004",45.5,"6,685",50.6,489,3.7,26,0.2,"13,204"
41,Lares,"8,364",50.3,"7,602",45.7,653,3.9,2,0.0,"16,621"
42,Las Marías,"2,615",47.2,"2,755",49.7,172,3.1,4,0.1,"5,546"
43,Las Piedras,"9,008",54.1,"7,282",43.7,362,2.2,0,0.0,"16,652"
44,Loíza,"8,240",62.4,"4,560",34.5,412,3.1,1,0.0,"13,213"
45,Luquillo,"5,082",50.2,"4,685",46.3,353,3.5,2,0.0,"10,122"
46,Manatí,"12,901",54.3,"10,059",42.3,807,3.4,4,0.0,"23,771"
47,Maricao,"2,019",54.3,"1,616",43.5,81,2.2,3,0.1,"3,719"
48,Maunabo,"3,715",50.8,"3,234",44.2,363,5.0,1,0.0,"7,313"
49,Mayagüez,"23,789",44.9,"26,459",50.0,"2,678",5.1,16,0.0,"52,942"
50,Moca,"10,196",55.7,"7,667",41.9,421,2.3,17,0.1,"18,301"
51,Morovis,"7,239",48.6,"7,370",49.4,296,2.0,3,0.0,"14,908"
52,Naguabo,"6,619",51.5,"5,911",46.0,304,2.4,6,0.0,"12,840"
53,Naranjito,"6,952",41.3,"9,310",55.3,547,3.3,19,0.1,"16,828"
54,Orocovis,"7,076",53.9,"5,747",43.8,291,2.2,3,0.0,"13,117"
55,Patillas,"5,798",49.9,"5,385",46.3,446,3.8,1,0.0,"11,630"
56,Peñuelas,"6,333",49.4,"5,817",45.4,666,5.2,1,0.0,"12,817"
