,municipios,votos_P_N_P,pct_P_N_P,votos_P_P_D,pct_P_P_D,votos_P_I_P,pct_P_I_P,votos_Otros,pct_Otros,votos_Blanco,pct_Blanco,votos_Nulo,pct_Nulo,total
0,Adjuntas,"6,028",51.6,"5,382",46.1,199,1.7,0,0.0,43,0.4,26,0.2,"11,678"
1,Aguada,"11,928",54.1,"9,276",42.1,727,3.3,8,0.0,71,0.3,37,0.2,"22,047"
2,Aguadilla,"17,595",54.5,"13,594",42.1,945,2.9,10,0.0,81,0.3,75,0.2,"32,300"
3,Aguas Buenas,"8,617",53.5,"6,624",41.2,783,4.9,4,0.0,43,0.3,24,0.1,"16,095"
4,Aibonito,"6,456",41.9,"8,058",52.3,773,5.0,23,0.1,56,0.4,42,0.3,"15,408"
5,Añasco,"8,397",52.3,"7,302",45.5,299,1.9,1,0.0,39,0.2,27,0.2,"16,065"
6,Arecibo,"30,230",53.6,"24,205",42.9,"1,676",3.0,13,0.0,138,0.2,123,0.2,"56,385"
7,Arroyo,"5,714",52.3,"4,762",43.6,404,3.7,4,0.0,32,0.3,16,0.1,"10,932"
8,Barceloneta,"6,804",49.8,"6,464",47.4,333,2.4,5,0.0,21,0.2,22,0.2,"13,649"
9,Barranquitas,"8,162",51.0,"7,280",45.5,512,3.2,2,0.0,21,0.1,28,0.2,"16,005"
10,Bayamón,"61,988",53.8,"47,586",41.3,"5,266",4.6,45,0.0,222,0.2,172,0.1,"115,279"
11,Cabo Rojo,"11,158",47.3,"10,773",45.6,"1,509",6.4,14,0.1,86,0.4,64,0.3,"23,604"
12,Caguas,"35,692",48.6,"33,680",45.8,"3,770",5.1,27,0.0,145,0.2,168,0.2,"73,482"
13,Camuy,"10,497",52.6,"8,974",44.9,408,2.0,5,0.0,48,0.2,36,0.2,"19,968"
14,Canóvanas,"10,973",51.5,"9,461",44.4,774,3.6,6,0.0,46,0.2,64,0.3,"21,324"
15,Carolina,"47,124",51.7,"39,640",43.5,"4,021",4.4,39,0.0,178,0.2,219,0.2,"91,221"
